player,fbref_id,fbref_url,window,prior_season,pl_season,prior_league,prior_squads,pl_squads,pos,age_pl,prior_minutes,pl_minutes,minutes_ratio,prior_npxg,pl_npxg,prior_xag,pl_xag,prior_npxg_p90,pl_npxg_p90,prior_xag_p90,pl_xag_p90,prior_npxg_xag_p90,ratio_npxg,ratio_xag,diff_npxg,diff_xag,prior_pkatt,pl_pkatt,dest_big6,talent_split,talent_league_n,talent_league_p25,talent_league_p75,meets_900,meets_450,in_primary,prior_pl_minutes,source
Sandro Ramírez,833fb62e,https://fbref.com/en/players/833fb62e/Sandro-Ramirez,january,2017-18,2017-18,La Liga,Sevilla,Everton,"FW,MF",22.0,717.0,278.0,0.3877266387726639,2.1,0.5,1.7,0.0,0.26359832635983266,0.1618705035971223,0.21338912133891214,0.0,0.4769874476987448,0.6140801644398766,0.0,-0.10172782276271036,-0.21338912133891214,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Terence Kongolo,1f9a3a04,https://fbref.com/en/players/1f9a3a04/Terence-Kongolo,january,2017-18,2017-18,Ligue 1,Monaco,Huddersfield,DF,23.0,257.0,1049.0,4.081712062256809,0.2,0.3,0.3,0.1,0.07003891050583658,0.025738798856053385,0.10505836575875487,0.008579599618684462,0.17509727626459143,0.3674928503336511,0.08166507785192247,-0.04430011164978319,-0.09647876614007041,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Antonio Barreca,6a189491,https://fbref.com/en/players/6a189491/Antonio-Barreca,january,2018-19,2018-19,Ligue 1,Monaco,Newcastle Utd,DF,23.0,593.0,5.0,0.008431703204047217,0.2,0.0,0.3,0.0,0.03035413153456998,0.0,0.045531197301854974,0.0,0.07588532883642496,0.0,0.0,-0.03035413153456998,-0.045531197301854974,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Ben Wilmot,2876eaa3,https://fbref.com/en/players/2876eaa3/Ben-Wilmot,january,2018-19,2018-19,Serie A,Udinese,Watford,"MF,DF",18.0,199.0,28.0,0.1407035175879397,0.0,0.0,0.1,0.0,0.0,0.0,0.04522613065326633,0.0,0.04522613065326633,,0.0,0.0,-0.04522613065326633,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Denis Suárez,12c50af5,https://fbref.com/en/players/12c50af5/Denis-Suarez,january,2018-19,2018-19,La Liga,Barcelona,Arsenal,"MF,FW",24.0,19.0,71.0,3.736842105263158,0.4,0.0,0.1,0.0,1.894736842105263,0.0,0.47368421052631576,0.0,2.3684210526315788,0.0,0.0,-1.894736842105263,-0.47368421052631576,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Gonzalo Higuaín,8a08491a,https://fbref.com/en/players/8a08491a/Gonzalo-Higuain,january,2018-19,2018-19,Serie A,Milan,Chelsea,FW,30.0,1277.0,1085.0,0.8496476115896633,5.8,4.9,1.7,1.3,0.40877055599060297,0.40645161290322585,0.11981205951448708,0.10783410138248847,0.52858261550509,0.9943270300333705,0.9000271076172404,-0.0023189430873771233,-0.011977958131998603,1.0,0.0,1,,,,,True,True,0,0.0,fbref_wfr_standard
Håvard Nordtveit,6cafd68d,https://fbref.com/en/players/6cafd68d/Havard-Nordtveit,january,2018-19,2018-19,Bundesliga,Hoffenheim,Fulham,DF,28.0,470.0,362.0,0.7702127659574468,0.2,0.0,0.0,0.1,0.03829787234042553,0.0,0.0,0.024861878453038673,0.03829787234042553,0.0,,-0.03829787234042553,0.024861878453038673,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Youri Tielemans,56f7a928,https://fbref.com/en/players/56f7a928/Youri-Tielemans,january,2018-19,2018-19,Ligue 1,Monaco,Leicester City,MF,21.0,1680.0,1086.0,0.6464285714285715,1.8,1.8,2.2,2.5,0.09642857142857143,0.14917127071823205,0.11785714285714287,0.20718232044198895,0.2142857142857143,1.5469613259668509,1.757910597689603,0.05274269928966062,0.08932517758484608,1.0,0.0,0,,,,,True,True,0,0.0,fbref_wfr_standard
Angeliño,30941e96,https://fbref.com/en/players/30941e96/Angelino,january,2019-20,2019-20,Bundesliga,RB Leipzig,Manchester City,DF,22.0,1095.0,423.0,0.3863013698630137,0.9,0.2,2.0,1.5,0.07397260273972603,0.0425531914893617,0.1643835616438356,0.3191489361702128,0.23835616438356164,0.5752561071710007,1.9414893617021278,-0.03141941125036433,0.15476537452637718,0.0,0.0,1,,,,,False,False,0,0.0,fbref_wfr_standard
Dennis Srbeny,1fdec858,https://fbref.com/en/players/1fdec858/Dennis-Srbeny,january,2019-20,2019-20,Bundesliga,Paderborn 07,Norwich City,"MF,FW",25.0,1119.0,47.0,0.0420017873100983,2.9,0.5,0.5,0.0,0.23324396782841822,0.9574468085106383,0.040214477211796246,0.0,0.27345844504021444,4.104915627292737,0.0,0.7242028406822201,-0.040214477211796246,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
Dimitri Foulquier,45e17712,https://fbref.com/en/players/45e17712/Dimitri-Foulquier,january,2019-20,2019-20,La Liga,Granada,Watford,"DF,MF",26.0,1119.0,59.0,0.05272564789991063,0.3,0.0,0.4,0.0,0.024128686327077747,0.0,0.032171581769437,0.0,0.05630026809651474,0.0,0.0,-0.024128686327077747,-0.032171581769437,0.0,0.0,0,,,,,False,False,0,0.0,fbref_wfr_standard
