player,understat_player_id,window,prior_season_end_year,pl_season_end_year,prior_season,pl_season,prior_league,prior_minutes,pl_minutes,prior_npxg,pl_npxg,prior_xa,pl_xa,prior_npxg_p90,pl_npxg_p90,prior_xa_p90,pl_xa_p90,prior_npxg_xa_p90,ratio_npxg,ratio_xa,diff_npxg,diff_xa,source,meets_900,meets_450
Robin Koch,6273,summer,2020,2021,2019-20,2020-21,Bundesliga,2708.0,1124.0,4.199456449598072,0.5145199028775091,1.2872688025236128,0.1258082622662186,0.13956834581382072,0.04119821286385749,0.042782198015925095,0.010073615306013944,0.1823505438297458,0.29518307051381454,0.23546278062347747,-0.09837013294996322,-0.03270858270991115,understat_roster_shots,True,True
Rodrigo,2381,summer,2020,2021,2019-20,2020-21,La Liga,1912.0,1285.0,7.2309966320171934,5.755641127005218,5.798691460862756,3.2005288116633888,0.3403711803773784,0.4031188337980309,0.27295095788579915,0.22416155101144355,0.6133221382631775,1.1843506649155269,0.8212521133750014,0.06274765342065247,-0.048789406874355595,understat_roster_shots,True,True
Sergio Reguilón,7187,summer,2020,2021,2019-20,2020-21,La Liga,2510.0,2258.0,2.459978005848824,1.1595532028004516,4.095350978896021,2.0991007015109058,0.08820638267983831,0.04621779816299409,0.1468452542233633,0.08366654700442051,0.23505163690320163,0.523973399189833,0.5697599656653326,-0.04198858451684422,-0.0631787072189428,understat_roster_shots,True,True
Thiago Alcántara,229,summer,2020,2021,2019-20,2020-21,Bundesliga,1773.0,1865.0,2.582844888791441,1.2113064229488364,1.0969494432210916,2.5549221271649,0.13110887760362644,0.058454465450614085,0.05568271285386252,0.12329382919294424,0.18679159045748894,0.44584673836760275,2.2142209471101904,-0.07265441215301235,0.06761111633908172,understat_roster_shots,True,True
Thiago Silva,3288,summer,2020,2021,2019-20,2020-21,Ligue 1,1586.0,1938.0,0.2227808982133862,1.3205456202849741,0.0,0.2914941012859343,0.012642043404290516,0.06132564800085019,0.0,0.013536877768696639,0.012642043404290516,4.850928448801023,,0.048683604596559675,0.013536877768696639,understat_roster_shots,True,True
Thomas Partey,2328,summer,2020,2021,2019-20,2020-21,La Liga,2544.0,1543.0,1.9617765378206955,1.1572763873264182,1.0441681854426854,1.1210453063249584,0.06940247185686423,0.06750153911819678,0.03693991222084972,0.06538825506756075,0.10634238407771394,0.972610013911494,1.770124809085338,-0.0019009327386674407,0.028448342846711036,understat_roster_shots,True,True
Timo Werner,65,summer,2020,2021,2019-20,2020-21,Bundesliga,2825.0,2605.0,21.175247886218127,13.432796752080318,9.675969239324331,6.667280228808521,0.674609667171551,0.46408894728876343,0.3082609669165274,0.23034749350969938,0.9828706340880784,0.6879369950842212,0.7472483325210426,-0.2105207198827876,-0.077913473406828,understat_roster_shots,True,True
Timothy Castagne,6157,summer,2020,2021,2019-20,2020-21,Serie A,1762.0,2349.0,1.9758137874305244,1.600266736000776,2.6685321480035777,2.306962272152304,0.10092124907420386,0.06131290176248184,0.1363041392283326,0.08838935908629518,0.23722538830253645,0.6075321334697374,0.6484715694380196,-0.03960834731172202,-0.047914780142037414,understat_roster_shots,True,True
Wesley Fofana,7589,summer,2020,2021,2019-20,2020-21,Ligue 1,1213.0,2274.0,0.8253347799181935,1.3763297051191326,0.0360733987763523,0.282855601981282,0.061236710793600505,0.05447215191764377,0.002676509389836527,0.011194812743322506,0.06391322018343704,0.889534255052385,4.182616652058991,-0.006764558875956735,0.00851830335348598,understat_roster_shots,True,True
Willian José,2361,summer,2020,2021,2019-20,2020-21,La Liga,2031.0,1123.0,11.714215140789745,1.429272817447781,1.6425518821924918,1.2711049672216175,0.5190937285431202,0.11454546177230658,0.07278664175151367,0.10186949870876721,0.5918803702946338,0.22066431450402602,1.399563110172599,-0.4045482667708136,0.029082856957253544,understat_roster_shots,True,True
Alex Kral,8017,summer,2021,2022,2020-21,2021-22,Russian Premier League,2407.0,1.0,1.111610299907624,0.0,2.5810191715136166,0.0,0.041564157453961845,0.0,0.09650674093735999,0.0,0.13807089839132183,0.0,0.0,-0.041564157453961845,-0.09650674093735999,understat_roster_shots,False,False
Ashley Young,631,summer,2021,2022,2020-21,2021-22,Serie A,1435.0,1232.0,1.5255178147926922,0.4037421988323325,2.137875691056251,0.7783125322312112,0.09567707549222461,0.02949415413547883,0.13408279595474745,0.056857246672734583,0.22975987144697207,0.30826772227037536,0.42404580146079096,-0.06618292135674578,-0.07722554928201286,understat_roster_shots,True,True
Boubakary Soumare,6310,summer,2021,2022,2020-21,2021-22,Ligue 1,1913.0,1102.0,0.1382339885458346,0.3298372942954298,0.6226277034729715,0.28568330779671647,0.006503428629966081,0.0269377100604253,0.02929246906041162,0.023331667605902433,0.035795897690377707,4.14207821645085,0.7965073738845343,0.02043428143045922,-0.005960801454509189,understat_roster_shots,True,True
Bruno Guimarães,8327,summer,2021,2022,2020-21,2021-22,Ligue 1,1760.0,1031.0,1.7804035199806083,4.0931999143213025,1.969157222658395,1.742860712110996,0.0910433618171902,0.35731134072639886,0.10069553979503157,0.1521410902909696,0.19173890161222176,3.9246281507471066,1.5109019783861013,0.26626797890920867,0.05144555049593802,understat_roster_shots,True,True
Bryan Gil Salvatierra,7338,summer,2021,2022,2020-21,2021-22,La Liga,2293.0,76.0,3.6163890026509744,0.100671000778675,4.628236858174204,0.1044243015348911,0.14194287406828943,0.11921565881685198,0.18165779207835953,0.12366035708079211,0.32360066614664895,0.8398847747685927,0.6807324677129745,-0.02272721525143745,-0.05799743499756742,understat_roster_shots,False,False
Christian Eriksen,646,summer,2021,2022,2020-21,2021-22,Serie A,1401.0,935.0,1.1810339018702494,1.4037854857742778,2.3885523201897736,3.7309530712664127,0.07586941553770339,0.13512373659859359,0.15344019187514607,0.35912917263526967,0.22930960741284945,1.781004053358546,2.3405156644192173,0.059254321060890194,0.2056889807601236,understat_roster_shots,True,True
Cristian Romero,7218,summer,2021,2022,2020-21,2021-22,Serie A,2552.0,1850.0,1.357945162802934,0.4114758968353268,0.8436236977577206,0.3777228910475967,0.04788991561609093,0.020017746332529413,0.029751619435029332,0.018375708213126327,0.07764153505112026,0.41799502202095096,0.6176372433525722,-0.02787216928356152,-0.011375911221903005,understat_roster_shots,True,True
Cristiano Ronaldo,2371,summer,2021,2022,2020-21,2021-22,Serie A,2807.0,2468.0,23.74780800333246,14.929334205575282,3.854639131575822,4.424962695688008,0.7614188529746782,0.5444246671401035,0.12359013959452227,0.16136411775199383,0.8850089925692004,0.7150133793156931,1.3056390929033774,-0.21699418583457464,0.03777397815747156,understat_roster_shots,True,True
