slice,n,talent_rule,npxg_n,npxg_n_ratio,npxg_mean_ratio,npxg_median_ratio,npxg_p25_ratio,npxg_p75_ratio,npxg_share_ratio_lt_1,npxg_mean_diff,npxg_median_diff,xag_n,xag_n_ratio,xag_mean_ratio,xag_median_ratio,xag_p25_ratio,xag_p75_ratio,xag_share_ratio_lt_1,xag_mean_diff,xag_median_diff,mean_prior_npxg_p90,mean_pl_npxg_p90,mean_prior_xag_p90,mean_pl_xag_p90,median_minutes_ratio,share_dest_big6
league_Bundesliga_summer_450,58,,58,58,1.0571898354606455,0.6829898533635648,0.5149603378895952,1.0465239890885751,0.7241379310344828,-0.04412617242997729,-0.037489625952136965,58,56,1.2208714867466135,0.7295477125253549,0.4297442936766397,1.2603711788961958,0.6785714285714286,-0.030682593730298576,-0.01921816945381713,0.1995958563053775,0.1554696838754002,0.13122346990760275,0.10054087617730416,0.8642514223365287,0.43103448275862066
league_Serie A_summer_900,41,,41,41,1.045246704338986,0.7539401343921807,0.5094487102855304,1.2595057034220534,0.7073170731707317,-0.01956243526751025,-0.009934260205214766,41,41,0.8711956906197448,0.5974059003051881,0.5181818181818181,0.8538138001591452,0.8048780487804879,-0.022147119487961792,-0.0273769482567044,0.13116007370202812,0.11159763843451785,0.10376153113811117,0.08161441165014936,0.7472527472527473,0.43902439024390244
league_Serie A_summer_450,52,,52,52,1.1317629902703517,0.864417855826052,0.5254829017495906,1.2898378343360162,0.6346153846153846,-0.015299592856410906,-0.0053323117579169126,52,52,1.1328843565629592,0.658981395203535,0.5274234386303351,1.1499609717935697,0.7115384615384616,-0.01155511263616918,-0.0223611886303701,0.13511941024493007,0.1198198173885192,0.10202792837154652,0.09047281573537734,0.7478467478467479,0.38461538461538464
league_Ligue 1_summer_900,69,,69,68,1.057337778180683,0.7902559066974209,0.5414479535297658,1.2943627279427203,0.6323529411764706,-0.014239551348680685,-0.012538666562907363,69,67,1.1191806674943963,0.822521844800648,0.5269520319204006,1.3014172842478118,0.5671641791044776,-0.01156641592436609,-0.009529177553122662,0.10253735915722101,0.08829780780854032,0.09089716881047982,0.07933075288611373,0.7952612393681653,0.18840579710144928
league_Ligue 1_summer_450,83,,83,82,1.0117420840992473,0.7654251461103427,0.5203472380168235,1.218254989075899,0.6463414634146342,-0.028158172220047076,-0.013346157434988265,83,81,1.0672694158806564,0.8268656716417911,0.5183900451492126,1.26351762126711,0.5802469135802469,-0.019761104613133327,-0.009529177553122662,0.13090408151663938,0.10274590929659229,0.10057709831288954,0.08081599369975621,0.7515078407720145,0.18072289156626506
dest_big6_summer_900,66,,66,66,1.060318131678586,0.9439219611537502,0.5796751238426514,1.3444256442222102,0.5303030303030303,-0.004654299902236891,-0.003346414498488527,66,65,1.1775955524960786,0.8268656716417911,0.5809265361504167,1.3391007532956687,0.5846153846153846,-0.021172070382718313,-0.015065278821307058,0.16433308769163021,0.15967878778939337,0.12838906272811523,0.10721699234539693,0.7487486761071667,1.0
dest_non_big6_summer_900,128,,128,126,1.0598721275718355,0.7520111450797577,0.48747652254765234,1.1216955814352327,0.7142857142857143,-0.02441267583294709,-0.01822677477672565,128,127,1.0924661036746883,0.7266805135951663,0.46093384655850167,1.2151791224805248,0.6614173228346457,-0.01743221337552857,-0.016880123830255757,0.12619913621902232,0.1017864603860752,0.09329133142414903,0.07585911804862047,0.8779028496095731,0.0
age_le23_summer_900,71,,71,71,1.1815713805121808,0.9078289838978345,0.5658834820603531,1.292438284488449,0.5774647887323944,-0.012000486899688476,-0.00705777156541311,71,71,1.2305728465311105,0.7876335383619295,0.5573879374613133,1.3073403780449802,0.6056338028169014,-0.0208321151813342,-0.01164857417184817,0.13520184199721977,0.12320135509753131,0.1068311576029381,0.08599904242160389,0.7642928786359077,0.4084507042253521
age_ge28_summer_900,33,,33,33,0.8649491273338891,0.5883005516910529,0.3736684213505405,1.0729098090849243,0.7272727272727273,-0.02587074495842854,-0.018462047642351393,33,32,1.281085607188798,1.0140248954953384,0.5398188920454545,1.6964106958743668,0.5,0.0027638535552741428,0.002483236684744001,0.1641565130224515,0.13828576806402293,0.09729138851406227,0.10005524206933641,0.8226221079691517,0.42424242424242425
minutes_collapse_lt_0.5_summer_900,22,,22,22,0.9933561764667759,0.9818238721170978,0.5699593433602428,1.3098338185884968,0.5454545454545454,-0.01939973080513742,-0.0014216293520155285,22,22,0.8911525891081752,0.5830030558736168,0.47664101197174086,0.9574558897253379,0.7727272727272727,-0.018326790935821475,-0.020749772831279607,0.15436975871023464,0.1349700279050972,0.07249948051030755,0.05417268957448607,0.4412642332375123,0.2727272727272727
