num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw2_avg_fdr,gw2_max_fdr,gw3_avg_fdr,gw1_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
3,3+1+1,HUL-MCI-SUN-SUN-SUN,HUL,MCI,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.0
3,3+1+1,BRE-COV-MUN-MUN-MUN,BRE,COV,MUN,MUN,MUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
4,2+1+1+1,BRE-COV-MUN-MUN-SUN,BRE,COV,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
4,2+1+1+1,BRE-COV-MUN-SUN-SUN,BRE,COV,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,BRE-COV-SUN-SUN-SUN,BRE,COV,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,BRE-MUN-MUN-MUN-TOT,BRE,MUN,MUN,MUN,TOT,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
4,2+1+1+1,BRE-MUN-MUN-TOT-SUN,BRE,MUN,MUN,TOT,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
4,2+1+1+1,BRE-MUN-TOT-SUN-SUN,BRE,MUN,TOT,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,BRE-TOT-SUN-SUN-SUN,BRE,TOT,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,COV-LIV-MUN-MUN-MUN,COV,LIV,MUN,MUN,MUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
4,2+1+1+1,COV-LIV-MUN-MUN-SUN,COV,LIV,MUN,MUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
4,2+1+1+1,COV-LIV-MUN-SUN-SUN,COV,LIV,MUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,COV-LIV-SUN-SUN-SUN,COV,LIV,SUN,SUN,SUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
3,3+1+1,COV-MCI-MUN-MUN-MUN,COV,MCI,MUN,MUN,MUN,2.0,2.2,3.0,2.67,2.33,2.2727,0.1
