gkp1,price1,gkp2,price2,total_price,gkp1_solo_pts,gkp2_solo_pts,best_solo_pts,fdr_rotation_pts,fdr_gain_vs_best_solo,hindsight_pts,hindsight_gain_vs_best_solo,bench_pts_wasted,gkp1_starts,gkp2_starts
Sels,4.6,Areola,4.2,8.8,105,51,105,73,-32,120,15,83,20,18
Darlow,4.0,José Sá,4.2,8.2,71,68,71,72,1,96,25,49,24,14
Darlow,4.0,Pope,5.0,9.0,71,96,96,70,-26,126,30,91,24,14
Vicario,4.7,Areola,4.2,8.9,90,51,90,70,-20,109,19,71,21,17
Perri,4.4,José Sá,4.2,8.600000000000001,43,68,68,69,1,89,21,30,24,14
Darlow,4.0,Areola,4.2,8.2,71,51,71,67,-4,105,34,49,21,17
Lammens,5.1,Areola,4.2,9.3,109,51,109,67,-42,127,18,93,22,16
Pope,5.0,José Sá,4.2,9.2,96,68,96,67,-29,117,21,85,22,16
Perri,4.4,Lammens,5.1,9.5,43,109,109,65,-44,132,23,87,19,19
Perri,4.4,Pope,5.0,9.4,43,96,96,58,-38,117,21,81,24,14
Perri,4.4,Hermansen,4.2,8.600000000000001,43,76,76,58,-18,112,36,61,21,17
Perri,4.4,Sels,4.6,9.0,43,105,105,52,-53,130,25,96,20,18
Areola,4.2,José Sá,4.2,8.4,51,68,68,52,-16,93,25,55,21,17
Perri,4.4,Vicario,4.7,9.100000000000001,43,90,90,51,-39,101,11,82,23,15
Perri,4.4,Areola,4.2,8.600000000000001,43,51,51,38,-13,73,22,56,21,17
