gw,chip,formation,captain,player_id,web_name,club_short,position,cost,xp,is_captain,xi_xp,week_xp,published_week_xp,bench
5,,5-3-2,Haaland,557,Tzolis,ARS,MID,6.5,4.3,False,50.81,57.14,57.14,"Walle Egeli, Scherpen, Gomez, Slater"
5,,5-3-2,Haaland,208,Sarr,CRY,MID,6.5,4.21,False,50.81,57.14,57.14,"Walle Egeli, Scherpen, Gomez, Slater"
5,,5-3-2,Haaland,411,Haaland,MCI,FWD,15.5,6.33,True,50.81,57.14,57.14,"Walle Egeli, Scherpen, Gomez, Slater"
5,,5-3-2,Haaland,379,Isak,LIV,FWD,9.0,4.64,False,50.81,57.14,57.14,"Walle Egeli, Scherpen, Gomez, Slater"
6,,5-3-2,Gabriel,384,Donnarumma,MCI,GKP,5.5,3.68,False,49.07,54.38,54.38,"Walle Egeli, Scherpen, Gomez, Slater"
6,,5-3-2,Gabriel,4,Gabriel,ARS,DEF,8.0,5.31,True,49.07,54.38,54.38,"Walle Egeli, Scherpen, Gomez, Slater"
6,,5-3-2,Gabriel,504,Vuskovic,BHA,DEF,5.0,5.11,False,49.07,54.38,54.38,"Walle Egeli, Scherpen, Gomez, Slater"
6,,5-3-2,Gabriel,8,Calafiori,ARS,DEF,5.5,4.97,False,49.07,54.38,54.38,"Walle Egeli, Scherpen, Gomez, Slater"
6,,5-3-2,Gabriel,130,Wieffer,BHA,DEF,5.0,4.62,False,49.07,54.38,54.38,"Walle Egeli, Scherpen, Gomez, Slater"
6,,5-3-2,Gabriel,60,Hill,BOU,DEF,5.5,4.21,False,49.07,54.38,54.38,"Walle Egeli, Scherpen, Gomez, Slater"
6,,5-3-2,Gabriel,557,Tzolis,ARS,MID,6.5,5.13,False,49.07,54.38,54.38,"Walle Egeli, Scherpen, Gomez, Slater"
6,,5-3-2,Gabriel,154,Palmer,CHE,MID,9.5,4.39,False,49.07,54.38,54.38,"Walle Egeli, Scherpen, Gomez, Slater"
6,,5-3-2,Gabriel,208,Sarr,CRY,MID,6.5,4.27,False,49.07,54.38,54.38,"Walle Egeli, Scherpen, Gomez, Slater"
6,,5-3-2,Gabriel,411,Haaland,MCI,FWD,15.5,3.82,False,49.07,54.38,54.38,"Walle Egeli, Scherpen, Gomez, Slater"
6,,5-3-2,Gabriel,379,Isak,LIV,FWD,9.0,3.56,False,49.07,54.38,54.38,"Walle Egeli, Scherpen, Gomez, Slater"
