gw,chip,formation,captain,player_id,web_name,club_short,position,cost,xp,is_captain,xi_xp,week_xp,published_week_xp,bench
6,,5-3-2,Haaland,384,Donnarumma,MCI,GKP,5.5,3.88,False,56.45,62.78,62.78,"Walle Egeli, Horníček, Crooks, Palacios"
6,,5-3-2,Haaland,4,Gabriel,ARS,DEF,8.0,5.42,False,56.45,62.78,62.78,"Walle Egeli, Horníček, Crooks, Palacios"
6,,5-3-2,Haaland,504,Vuskovic,BHA,DEF,5.0,5.37,False,56.45,62.78,62.78,"Walle Egeli, Horníček, Crooks, Palacios"
6,,5-3-2,Haaland,8,Calafiori,ARS,DEF,5.5,5.1,False,56.45,62.78,62.78,"Walle Egeli, Horníček, Crooks, Palacios"
6,,5-3-2,Haaland,130,Wieffer,BHA,DEF,5.0,4.81,False,56.45,62.78,62.78,"Walle Egeli, Horníček, Crooks, Palacios"
6,,5-3-2,Haaland,388,Guéhi,MCI,DEF,6.0,4.51,False,56.45,62.78,62.78,"Walle Egeli, Horníček, Crooks, Palacios"
6,,5-3-2,Haaland,154,Palmer,CHE,MID,9.5,5.98,False,56.45,62.78,62.78,"Walle Egeli, Horníček, Crooks, Palacios"
6,,5-3-2,Haaland,557,Tzolis,ARS,MID,6.5,5.23,False,56.45,62.78,62.78,"Walle Egeli, Horníček, Crooks, Palacios"
6,,5-3-2,Haaland,208,Sarr,CRY,MID,6.5,4.82,False,56.45,62.78,62.78,"Walle Egeli, Horníček, Crooks, Palacios"
6,,5-3-2,Haaland,411,Haaland,MCI,FWD,15.5,6.33,True,56.45,62.78,62.78,"Walle Egeli, Horníček, Crooks, Palacios"
6,,5-3-2,Haaland,165,João Pedro,CHE,FWD,7.5,5.0,False,56.45,62.78,62.78,"Walle Egeli, Horníček, Crooks, Palacios"
