player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,xp_per_m_season,n_gameweeks,in_s1,in_s5,in_user
184,Grimes,COV,MID,Regular Starter,eligible,5.0,0.2,101.94,2356.0,62.0,3.8942,16.18,372.0,62.0,3.9142,20.387999999999998,38,False,False,False
152,Palestra,CHE,DEF,Regular Starter,eligible,5.5,1.5,101.9,2356.0,62.0,3.8926,16.2,372.0,62.0,3.9186,18.527272727272727,38,False,False,False
415,Dorgu,MUN,MID,Regular Starter,eligible,6.0,1.9,101.75,2356.0,62.0,3.8868,16.38,372.0,62.0,3.964,16.958333333333332,38,False,False,False
268,King,FUL,MID,Regular Starter,eligible,5.5,0.1,101.7,2356.0,62.0,3.8849,15.56,372.0,62.0,3.7644,18.490909090909092,38,False,False,False
209,Johnson,CRY,MID,Rotation,not_role_eligible,6.0,0.2,54.1,1254.0,33.0,3.8827,8.57,198.0,33.0,3.8971,9.016666666666667,38,False,False,False
483,Ndoye,NFO,MID,Rotation,not_role_eligible,5.5,0.6,54.05,1254.0,33.0,3.8791,8.58,198.0,33.0,3.8993,9.827272727272726,38,False,False,False
432,Mainoo,MUN,MID,Rotation,not_role_eligible,5.5,1.3,54.04,1254.0,33.0,3.8783,8.61,198.0,33.0,3.9118,9.825454545454546,38,False,False,False
556,Targett,HUL,DEF,Rotation,not_role_eligible,4.0,2.3,54.01,1254.0,33.0,3.8763,8.42,198.0,33.0,3.8263,13.5025,38,False,False,False
305,Davis,IPS,DEF,Regular Starter,eligible,4.0,3.6,101.46,2356.0,62.0,3.876,16.45,372.0,62.0,3.9796,25.365,38,True,False,False
420,Yoro,MUN,DEF,Regular Starter,eligible,5.0,0.6,101.08,2356.0,62.0,3.8611,16.54,372.0,62.0,4.0006,20.216,38,False,False,False
249,Barry,EVE,FWD,Regular Starter,eligible,5.5,0.9,100.73,2356.0,62.0,3.8481,16.41,372.0,62.0,3.9699,18.314545454545456,38,False,False,False
226,Pickford,EVE,GKP,Nailed Starter,eligible,5.5,9.0,125.84,2945.0,77.5,3.8457,20.72,465.0,77.5,4.0107,22.88,38,False,False,False
37,Lindelöf,AVL,DEF,Rotation,not_role_eligible,4.5,0.2,53.57,1254.0,33.0,3.8444,8.46,198.0,33.0,3.8451,11.904444444444444,38,False,False,False
233,Mykolenko,EVE,DEF,Regular Starter,eligible,4.5,1.4,100.5,2356.0,62.0,3.839,16.58,372.0,62.0,4.0108,22.333333333333332,38,False,False,False
536,Reinildo,SUN,DEF,Nailed Starter,eligible,4.5,0.5,125.12,2945.0,77.5,3.8236,20.27,465.0,77.5,3.9227,27.804444444444446,38,False,False,False
198,Henderson,CRY,GKP,Nailed Starter,eligible,5.0,3.1,124.62,2945.0,77.5,3.8084,19.73,465.0,77.5,3.819,24.924,38,False,False,False
271,Muniz,FUL,FWD,Rotation,not_role_eligible,5.5,0.7,53.06,1254.0,33.0,3.808,8.18,198.0,33.0,3.7181,9.647272727272728,38,False,False,False
456,J.Ramsey,NEW,MID,Rotation,not_role_eligible,5.0,0.5,53.04,1254.0,33.0,3.807,8.53,198.0,33.0,3.8776,10.608,38,False,False,False
449,Hall,NEW,DEF,Regular Starter,eligible,5.0,4.2,99.64,2356.0,62.0,3.8062,16.64,372.0,62.0,4.0255,19.928,38,False,False,False
423,Shaw,MUN,DEF,Nailed Starter,eligible,4.5,24.4,124.52,2945.0,77.5,3.8054,20.31,465.0,77.5,3.9309,27.67111111111111,38,False,False,True
79,Evanilson,BOU,FWD,Regular Starter,eligible,6.0,2.0,99.44,2356.0,62.0,3.7987,14.57,372.0,62.0,3.5255,16.573333333333334,38,False,False,False
263,Kevin,FUL,MID,Regular Starter,eligible,5.5,0.1,99.29,2356.0,62.0,3.7928,15.21,372.0,62.0,3.681,18.052727272727275,38,False,False,False
526,Solanke,TOT,FWD,Rotation,not_role_eligible,6.0,2.8,52.84,1254.0,33.0,3.7923,8.4,198.0,33.0,3.8162,8.806666666666667,38,False,False,False
317,Hirst,IPS,FWD,Rotation,not_role_eligible,5.0,0.5,52.82,1254.0,33.0,3.791,8.42,198.0,33.0,3.8291,10.564,38,False,False,False
280,Coyle,HUL,DEF,Regular Starter,eligible,4.0,0.3,98.88,2356.0,62.0,3.7773,15.36,372.0,62.0,3.7153,24.72,38,False,False,False
455,Tonali,TOT,MID,Regular Starter,eligible,5.5,3.7,98.74,2356.0,62.0,3.7719,15.66,372.0,62.0,3.7882,17.952727272727273,38,False,False,False
