player_id,web_name,club_short,position,expected_role,draft_availability,cost,ownership_pct,total_season_xp,total_season_xmins,avg_xmins_season,xp_per_90_season,total_gw1_6_xp,total_gw1_6_xmins,avg_xmins_gw1_6,xp_per_90_gw1_6,n_gameweeks
68,Tavernier,BOU,MID,Nailed Starter,eligible,6.0,1.8,153.31,2945.0,77.5,4.6853,21.9,465.0,77.5,4.2396,38
95,O.Dango,BRE,MID,Nailed Starter,eligible,6.5,1.3,152.85,2945.0,77.5,4.6713,23.55,465.0,77.5,4.5577,38
112,Van Hecke,TOT,DEF,Nailed Starter,eligible,5.0,8.1,152.62,2945.0,77.5,4.6642,24.23,465.0,77.5,4.6902,38
387,O'Reilly,MCI,DEF,Regular Starter,eligible,6.5,23.1,152.48,2356.0,62.0,5.8248,23.97,372.0,62.0,5.8001,38
200,Lacroix,CHE,DEF,Nailed Starter,eligible,6.0,12.1,152.34,2945.0,77.5,4.6555,24.18,465.0,77.5,4.6804,38
418,Maguire,MUN,DEF,Nailed Starter,eligible,5.0,7.5,151.66,2945.0,77.5,4.6348,24.64,465.0,77.5,4.7691,38
254,Robinson,FUL,DEF,Nailed Starter,eligible,4.5,3.1,151.43,2945.0,77.5,4.6277,22.65,465.0,77.5,4.3829,38
532,Ballard,SUN,DEF,Nailed Starter,eligible,5.0,3.2,151.39,2945.0,77.5,4.6265,24.54,465.0,77.5,4.7492,38
384,Donnarumma,MCI,GKP,Nailed Starter,eligible,5.5,11.1,151.11,2945.0,77.5,4.618,23.81,465.0,77.5,4.6079,38
366,Wirtz,LIV,MID,Nailed Starter,eligible,7.5,11.1,150.59,2945.0,77.5,4.6019,24.46,465.0,77.5,4.7347,38
202,Richards,CRY,DEF,Nailed Starter,eligible,5.0,0.8,150.32,2945.0,77.5,4.5939,23.82,465.0,77.5,4.6103,38
201,Muñoz,CRY,DEF,Nailed Starter,eligible,5.5,12.0,149.71,2945.0,77.5,4.5751,23.75,465.0,77.5,4.5973,38
481,Anderson,MCI,MID,Nailed Starter,eligible,6.5,12.1,149.12,2945.0,77.5,4.557,23.51,465.0,77.5,4.5501,38
165,João Pedro,CHE,FWD,Nailed Starter,eligible,7.5,54.6,148.75,2945.0,77.5,4.546,23.64,465.0,77.5,4.5747,38
