player_id,web_name,club_short,position,expected_role,draft_availability,rate_source,provenance_note,gw1_xp,gw1_xmins,gw2_xp,gw2_xmins,gw3_xp,gw3_xmins,gw4_xp,gw4_xmins,gw5_xp,gw5_xmins,total_5gw_xp,avg_gw_xp,total_5gw_xmins
334,Muharemović,LEE,DEF,Regular Starter,eligible,external_3season_research,External Sassuolo; FBref CBIT Defcon 10.23/90 (Muharemović),3.71,62.0,3.72,62.0,3.72,62.0,4.47,62.0,3.74,62.0,19.36,3.87,310.0
350,A.Becker,LIV,GKP,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2340m) + 50% mean older usable [2023/24,2024/25]",3.65,77.5,3.58,77.5,4.26,77.5,4.25,77.5,3.58,77.5,19.32,3.86,387.5
535,Alderete,SUN,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2797 mins),4.73,77.5,4.76,77.5,3.82,77.5,3.21,77.5,2.66,77.5,19.18,3.84,387.5
445,Thiaw,NEW,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2963 mins),2.95,77.5,3.74,77.5,3.79,77.5,3.71,77.5,4.94,77.5,19.13,3.83,387.5
95,O.Dango,BRE,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2271m) + 50% mean older usable [2023/24,2024/25]",3.81,77.5,3.79,77.5,4.45,77.5,3.79,77.5,3.16,77.5,19.01,3.8,387.5
389,Matheus N.,MCI,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2861m) + 50% mean older usable [2023/24,2024/25]",3.63,77.5,3.6,77.5,4.4,77.5,2.96,77.5,4.39,77.5,18.99,3.8,387.5
368,Szoboszlai,LIV,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3232m) + 50% mean older usable [2023/24,2024/25]",3.62,77.5,3.55,77.5,4.1,77.5,4.1,77.5,3.55,77.5,18.92,3.78,387.5
542,E.Le Fée,SUN,MID,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2930 mins),4.41,77.5,4.46,77.5,3.75,77.5,3.33,77.5,2.94,77.5,18.9,3.78,387.5
362,Jacquet,LIV,DEF,Regular Starter,eligible,external_3season_research,External Rennes/Clermont; FBref CBIT Defcon 10.87/90 (Jacquet),3.55,62.0,3.51,62.0,4.17,62.0,4.17,62.0,3.51,62.0,18.89,3.78,310.0
427,Mbeumo,MUN,MID,Regular Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2611m) + 50% mean older usable [2023/24,2024/25]",4.37,62.0,4.35,62.0,3.58,62.0,2.91,62.0,3.62,62.0,18.84,3.77,310.0
533,Mukiele,SUN,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2784 mins),4.68,77.5,4.71,77.5,3.73,77.5,3.08,77.5,2.49,77.5,18.7,3.74,387.5
335,Stach,LEE,MID,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2369 mins),3.61,77.5,3.63,77.5,3.62,77.5,4.16,77.5,3.65,77.5,18.66,3.73,387.5
12,Saka,ARS,MID,Regular Starter,watch,fpl_recency_50_50,"50% 2025/26 (2218m) + 50% mean older usable [2023/24,2024/25]",4.61,62.0,3.18,62.0,3.19,62.0,3.83,62.0,3.85,62.0,18.66,3.73,310.0
11,Mosquera,ARS,DEF,Regular Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (986 mins),4.27,62.0,3.38,62.0,3.39,62.0,3.78,62.0,3.79,62.0,18.62,3.72,310.0
471,Milenković,NFO,DEF,Nailed Starter,eligible,fpl_recency_50_50,50% 2025/26 (3375m) + 50% mean older usable [2024/25],4.48,77.5,2.97,77.5,3.66,77.5,3.0,77.5,4.5,77.5,18.61,3.72,387.5
562,Maeda,IPS,MID,Regular Starter,eligible,external_3season_research,External Celtic xG/xA; best-guess CBITR 7.69/90 (SPFL incomplete; scout+FootyMetrics),4.64,62.0,3.16,62.0,3.1,62.0,3.84,62.0,3.85,62.0,18.6,3.72,310.0
229,Tarkowski,EVE,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3330m) + 50% mean older usable [2023/24,2024/25]",3.66,77.5,3.66,77.5,2.99,77.5,3.67,77.5,4.55,77.5,18.52,3.7,387.5
8,Calafiori,ARS,DEF,Regular Starter,eligible,fpl_recency_50_50,50% 2025/26 (1697m) + 50% mean older usable [2024/25],4.43,62.0,3.24,62.0,3.25,62.0,3.78,62.0,3.79,62.0,18.49,3.7,310.0
397,Semenyo,MCI,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3200m) + 50% mean older usable [2023/24,2024/25]",3.58,77.5,3.54,77.5,4.12,77.5,3.05,77.5,4.1,77.5,18.4,3.68,387.5
88,Kayode,BRE,DEF,Nailed Starter,eligible,fpl_recency_50_50,50% 2025/26 (3258m) + 50% mean older usable [2024/25],3.67,77.5,3.65,77.5,4.43,77.5,3.66,77.5,2.99,77.5,18.39,3.68,387.5
391,Gvardiol,MCI,DEF,Regular Starter,eligible,fpl_recency_50_50,"50% 2025/26 (1370m) + 50% mean older usable [2023/24,2024/25]",3.53,62.0,3.5,62.0,4.18,62.0,2.93,62.0,4.17,62.0,18.32,3.66,310.0
412,Lammens,MUN,GKP,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2880 mins),4.21,77.5,4.19,77.5,3.46,77.5,2.87,77.5,3.5,77.5,18.23,3.65,387.5
418,Maguire,MUN,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (1649m) + 50% mean older usable [2023/24,2024/25]",4.32,77.5,4.3,77.5,3.42,77.5,2.71,77.5,3.45,77.5,18.21,3.64,387.5
201,Muñoz,CRY,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2400m) + 50% mean older usable [2023/24,2024/25]",3.6,77.5,2.77,77.5,3.63,77.5,4.58,77.5,3.59,77.5,18.16,3.63,387.5
130,Wieffer,BHA,DEF,Regular Starter,eligible,fpl_recency_50_50,50% 2025/26 (1901m) + 50% mean older usable [2024/25],3.59,62.0,2.9,62.0,4.35,62.0,4.31,62.0,2.94,62.0,18.09,3.62,310.0
480,Gibbs-White,NFO,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3101m) + 50% mean older usable [2023/24,2024/25]",4.2,77.5,2.98,77.5,3.58,77.5,3.01,77.5,4.21,77.5,17.98,3.6,387.5
67,Rayan,BOU,MID,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (1110 mins),2.87,77.5,3.89,77.5,3.99,77.5,3.85,77.5,3.29,77.5,17.88,3.58,387.5
236,Dewsbury-Hall,EVE,MID,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2629 mins),3.55,77.5,3.54,77.5,3.11,77.5,3.55,77.5,4.11,77.5,17.86,3.57,387.5
338,Ampadu,LEE,MID,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (3119 mins),3.48,77.5,3.49,77.5,3.49,77.5,3.86,77.5,3.52,77.5,17.83,3.57,387.5
367,Gakpo,LIV,MID,Regular Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2736m) + 50% mean older usable [2023/24,2024/25]",3.35,62.0,3.29,62.0,3.88,62.0,3.87,62.0,3.29,62.0,17.68,3.54,310.0
452,Bruno G.,NEW,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2456m) + 50% mean older usable [2023/24,2024/25]",3.02,77.5,3.47,77.5,3.52,77.5,3.43,77.5,4.22,77.5,17.65,3.53,387.5
226,Pickford,EVE,GKP,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3420m) + 50% mean older usable [2023/24,2024/25]",3.48,77.5,3.48,77.5,2.94,77.5,3.49,77.5,4.25,77.5,17.65,3.53,387.5
82,Kelleher,BRE,GKP,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3330m) + 50% mean older usable [2023/24,2024/25]",3.5,77.5,3.48,77.5,4.16,77.5,3.48,77.5,2.91,77.5,17.53,3.51,387.5
113,F.Kadıoğlu,BHA,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (3130 mins),3.47,77.5,2.69,77.5,4.32,77.5,4.29,77.5,2.72,77.5,17.5,3.5,387.5
28,Martinez,AVL,GKP,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2835m) + 50% mean older usable [2023/24,2024/25]",3.45,77.5,2.87,77.5,4.21,77.5,3.47,77.5,3.44,77.5,17.44,3.49,387.5
32,Cash,AVL,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3016m) + 50% mean older usable [2023/24,2024/25]",3.43,77.5,2.72,77.5,4.32,77.5,3.45,77.5,3.43,77.5,17.35,3.47,387.5
140,Sánchez,CHE,GKP,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3040m) + 50% mean older usable [2023/24,2024/25]",3.38,77.5,4.04,77.5,2.35,77.5,4.07,77.5,3.33,77.5,17.17,3.43,387.5
467,Sels,NFO,GKP,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2667m) + 50% mean older usable [2023/24,2024/25]",4.08,77.5,2.75,77.5,3.36,77.5,2.79,77.5,4.1,77.5,17.08,3.42,387.5
529,Roefs,SUN,GKP,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (3150 mins),4.22,77.5,4.26,77.5,3.37,77.5,2.86,77.5,2.35,77.5,17.06,3.41,387.5
398,Foden,MCI,MID,Regular Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2078m) + 50% mean older usable [2023/24,2024/25]",3.32,62.0,3.29,62.0,3.81,62.0,2.83,62.0,3.79,62.0,17.04,3.41,310.0
499,Pedro Porro,TOT,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2793m) + 50% mean older usable [2023/24,2024/25]",3.18,77.5,4.19,77.5,3.21,77.5,3.2,77.5,3.2,77.5,16.99,3.4,387.5
496,Kinsky,TOT,GKP,Nailed Starter,eligible,fpl_recency_50_50,50% 2025/26 (630m) + 50% mean older usable [2024/25],3.21,73.0,4.03,73.0,3.24,73.0,3.24,73.0,3.24,73.0,16.97,3.39,365.0
544,Xhaka,SUN,MID,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2901 mins),3.74,77.5,3.77,77.5,3.35,77.5,3.15,77.5,2.93,77.5,16.94,3.39,387.5
68,Tavernier,BOU,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2732m) + 50% mean older usable [2023/24,2024/25]",2.67,77.5,3.7,77.5,3.77,77.5,3.66,77.5,3.1,77.5,16.9,3.38,387.5
109,Verbruggen,BHA,GKP,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3420m) + 50% mean older usable [2023/24,2024/25]",3.35,77.5,2.67,77.5,4.08,77.5,4.03,77.5,2.72,77.5,16.84,3.37,387.5
124,Groß,BHA,MID,Nailed Starter,eligible,fpl_recency_50_50,50% 2025/26 (1636m) + 50% mean older usable [2023/24],3.38,77.5,2.81,77.5,3.92,77.5,3.86,77.5,2.85,77.5,16.82,3.36,387.5
515,Maddison,TOT,MID,Regular Starter,eligible,fpl_recency_50_50,50% 2024/25 (1799m) + 50% mean older usable [2023/24],3.21,62.0,3.9,62.0,3.23,62.0,3.23,62.0,3.23,62.0,16.8,3.36,310.0
372,Mac Allister,LIV,MID,Nailed Starter,watch,fpl_recency_50_50,"50% 2025/26 (2654m) + 50% mean older usable [2023/24,2024/25]",3.23,77.5,3.18,77.5,3.58,77.5,3.58,77.5,3.18,77.5,16.75,3.35,387.5
10,White,ARS,DEF,Regular Starter,watch,fpl_recency_50_50,"50% 2025/26 (699m) + 50% mean older usable [2023/24,2024/25]",4.01,62.0,2.93,62.0,2.93,62.0,3.41,62.0,3.42,62.0,16.7,3.34,310.0
203,Canvot,CRY,DEF,Regular Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (1331 mins),3.3,62.0,2.68,62.0,3.33,62.0,4.05,62.0,3.29,62.0,16.66,3.33,310.0
472,Murillo,NFO,DEF,Nailed Starter,watch,fpl_recency_50_50,"50% 2025/26 (2130m) + 50% mean older usable [2023/24,2024/25]",4.05,77.5,2.61,77.5,3.26,77.5,2.63,77.5,4.06,77.5,16.61,3.32,387.5
255,J.Cuenca,FUL,DEF,Regular Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (935 mins),3.13,62.0,3.58,62.0,3.63,62.0,3.08,62.0,3.17,62.0,16.6,3.32,310.0
73,Adams,BOU,MID,Nailed Starter,eligible,fpl_recency_50_50,50% 2025/26 (1769m) + 50% mean older usable [2024/25],3.04,77.5,3.39,77.5,3.45,77.5,3.37,77.5,3.18,77.5,16.43,3.29,387.5
202,Richards,CRY,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2825m) + 50% mean older usable [2023/24,2024/25]",3.25,77.5,2.55,77.5,3.27,77.5,4.11,77.5,3.24,77.5,16.42,3.28,387.5
417,Dalot,MUN,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2609m) + 50% mean older usable [2023/24,2024/25]",3.96,77.5,3.95,77.5,3.05,77.5,2.34,77.5,3.08,77.5,16.38,3.28,387.5
536,Reinildo,SUN,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (1966 mins),4.07,77.5,4.09,77.5,3.27,77.5,2.72,77.5,2.24,77.5,16.38,3.28,387.5
198,Henderson,CRY,GKP,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3330m) + 50% mean older usable [2023/24,2024/25]",3.24,77.5,2.61,77.5,3.28,77.5,4.01,77.5,3.22,77.5,16.36,3.27,387.5
469,N.Williams,NFO,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3203m) + 50% mean older usable [2023/24,2024/25]",4.07,77.5,2.47,77.5,3.2,77.5,2.5,77.5,4.08,77.5,16.33,3.27,387.5
40,Rogers,CHE,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3280m) + 50% mean older usable [2023/24,2024/25]",3.24,77.5,3.68,77.5,2.47,77.5,3.71,77.5,3.21,77.5,16.3,3.26,387.5
329,Rodon,LEE,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2952 mins),3.07,77.5,3.08,77.5,3.07,77.5,3.95,77.5,3.09,77.5,16.26,3.25,387.5
173,Thomas,COV,DEF,Regular Starter,eligible,external_3season_research,External CHA 2023-26: Bobby Thomas Coventry CB; CBIT Defcon; FBref+FotMob; mins~10017,2.32,62.0,4.12,62.0,2.31,62.0,4.08,62.0,3.38,62.0,16.22,3.24,310.0
357,Frimpong,LIV,DEF,Regular Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (1032 mins),3.0,62.0,2.97,62.0,3.64,62.0,3.64,62.0,2.97,62.0,16.21,3.24,310.0
18,Martinelli,ARS,MID,Regular Starter,eligible,fpl_recency_50_50,"50% 2025/26 (1065m) + 50% mean older usable [2023/24,2024/25]",3.88,62.0,2.84,62.0,2.84,62.0,3.32,62.0,3.33,62.0,16.21,3.24,310.0
423,Shaw,MUN,DEF,Nailed Starter,eligible,fpl_recency_50_50,50% 2025/26 (3220m) + 50% mean older usable [2023/24],3.84,77.5,3.83,77.5,3.04,77.5,2.42,77.5,3.07,77.5,16.21,3.24,387.5
188,Torp,COV,MID,Regular Starter,eligible,external_3season_research,External Coventry MID; FBref CBITR Defcon 11.05/90 (2023-25),2.62,62.0,3.85,62.0,2.6,62.0,3.79,62.0,3.34,62.0,16.2,3.24,310.0
175,van Ewijk,COV,DEF,Regular Starter,eligible,external_3season_research,External Coventry DEF; FBref CBIT Defcon 7.00/90 (2023-25),2.35,62.0,4.08,62.0,2.34,62.0,4.04,62.0,3.38,62.0,16.19,3.24,310.0
84,Collins,BRE,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2971m) + 50% mean older usable [2023/24,2024/25]",3.21,77.5,3.2,77.5,4.04,77.5,3.2,77.5,2.52,77.5,16.18,3.24,387.5
193,Wright,COV,FWD,Regular Starter,eligible,external_3season_research,External CHA 2023-26: Haji Wright; best-guess CBITR 5.28/90 from 23/24-24/25 FBref,2.29,62.0,4.16,62.0,2.28,62.0,4.06,62.0,3.37,62.0,16.16,3.23,310.0
149,Colwill,CHE,DEF,Nailed Starter,eligible,fpl_recency_50_50,50% 2024/25 (3150m) + 50% mean older usable [2023/24],3.15,77.5,3.92,77.5,1.97,77.5,3.94,77.5,3.12,77.5,16.1,3.22,387.5
278,Hughes,HUL,DEF,Regular Starter,eligible,external_3season_research,External Preston; FBref CBIT Defcon 8.14/90 (Andrew Hughes),2.74,62.0,3.99,62.0,3.29,62.0,2.69,62.0,3.36,62.0,16.08,3.22,310.0
14,Eze,ARS,MID,Regular Starter,eligible,fpl_recency_50_50,"50% 2025/26 (1885m) + 50% mean older usable [2023/24,2024/25]",3.86,62.0,2.81,62.0,2.81,62.0,3.29,62.0,3.3,62.0,16.07,3.21,310.0
388,Guéhi,MCI,DEF,Regular Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3150m) + 50% mean older usable [2023/24,2024/25]",3.05,62.0,3.04,62.0,3.7,62.0,2.51,62.0,3.69,62.0,15.99,3.2,310.0
286,Belloumi,HUL,MID,Regular Starter,eligible,external_3season_research,External Farense/Hull; FBref CBITR Defcon 9.97/90 (Belloumi),2.85,62.0,3.74,62.0,3.25,62.0,2.8,62.0,3.34,62.0,15.97,3.19,310.0
247,Hackney,EVE,MID,Regular Starter,eligible,external_3season_research,External Middlesbrough; FBref CBITR Defcon 12.03/90 (Hackney),3.17,62.0,3.17,62.0,2.89,62.0,3.18,62.0,3.54,62.0,15.95,3.19,310.0
428,Cunha,MUN,MID,Regular Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2493m) + 50% mean older usable [2023/24,2024/25]",3.61,62.0,3.59,62.0,3.06,62.0,2.59,62.0,3.09,62.0,15.93,3.19,310.0
142,James,CHE,DEF,Regular Starter,eligible,fpl_recency_50_50,50% 2025/26 (1957m) + 50% mean older usable [2024/25],3.14,62.0,3.76,62.0,2.13,62.0,3.77,62.0,3.12,62.0,15.91,3.18,310.0
211,Yeremy,CRY,MID,Regular Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2074 mins),3.17,62.0,2.68,62.0,3.2,62.0,3.69,62.0,3.16,62.0,15.9,3.18,310.0
331,Gudmundsson,LEE,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2637 mins),2.98,77.5,2.99,77.5,2.99,77.5,3.91,77.5,3.01,77.5,15.89,3.18,387.5
358,Kerkez,LIV,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2251m) + 50% mean older usable [2023/24,2024/25]",2.85,77.5,2.81,77.5,3.64,77.5,3.64,77.5,2.81,77.5,15.76,3.15,387.5
25,Gyökeres,ARS,FWD,Regular Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (2217 mins),3.81,62.0,2.73,62.0,2.74,62.0,3.22,62.0,3.24,62.0,15.74,3.15,310.0
371,Gravenberch,LIV,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2991m) + 50% mean older usable [2023/24,2024/25]",3.05,77.5,3.0,77.5,3.32,77.5,3.31,77.5,3.0,77.5,15.68,3.14,387.5
69,Scott,BOU,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2848m) + 50% mean older usable [2023/24,2024/25]",2.75,77.5,3.3,77.5,3.36,77.5,3.28,77.5,2.97,77.5,15.67,3.13,387.5
41,Buendía,AVL,MID,Regular Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (1753 mins),3.12,62.0,2.77,62.0,3.51,62.0,3.13,62.0,3.12,62.0,15.65,3.13,310.0
488,Sangaré,NFO,MID,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2073m) + 50% mean older usable [2023/24,2024/25]",3.36,77.5,2.87,77.5,3.12,77.5,2.9,77.5,3.37,77.5,15.63,3.13,387.5
61,Truffert,BOU,DEF,Nailed Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (3378 mins),2.29,77.5,3.5,77.5,3.55,77.5,3.47,77.5,2.81,77.5,15.62,3.12,387.5
155,Enzo,CHE,MID,Regular Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3114m) + 50% mean older usable [2023/24,2024/25]",3.1,62.0,3.56,62.0,2.26,62.0,3.59,62.0,3.07,62.0,15.59,3.12,310.0
248,Beto,EVE,FWD,Regular Starter,eligible,fpl_recency_50_50,"50% 2025/26 (1551m) + 50% mean older usable [2023/24,2024/25]",3.08,62.0,3.08,62.0,2.6,62.0,3.09,62.0,3.67,62.0,15.53,3.11,310.0
336,Okafor,LEE,MID,Regular Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (1553 mins),2.99,62.0,3.0,62.0,2.99,62.0,3.54,62.0,3.02,62.0,15.53,3.11,310.0
474,Jair Cunha,NFO,DEF,Regular Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (514 mins),3.68,62.0,2.53,62.0,3.06,62.0,2.55,62.0,3.69,62.0,15.52,3.1,310.0
204,Mitchell,CRY,DEF,Nailed Starter,eligible,fpl_recency_50_50,"50% 2025/26 (3253m) + 50% mean older usable [2023/24,2024/25]",3.05,77.5,2.36,77.5,3.08,77.5,3.91,77.5,3.05,77.5,15.45,3.09,387.5
558,Schlager,NFO,MID,Regular Starter,eligible,external_3season_research,External RB Leipzig; FBref CBITR Defcon 12.30/90 (Schlager),3.34,62.0,2.81,62.0,3.08,62.0,2.84,62.0,3.34,62.0,15.41,3.08,310.0
274,Butland,HUL,GKP,Regular Starter,eligible,external_3season_research,External SPFL 2023-26: Jack Butland Rangers proxy (no Hull mins yet); mins~9180,2.7,62.0,3.68,62.0,3.12,62.0,2.64,62.0,3.21,62.0,15.35,3.07,310.0
442,Pope,NEW,GKP,Regular Starter,eligible,fpl_recency_50_50,"50% 2025/26 (2416m) + 50% mean older usable [2023/24,2024/25]",2.55,62.0,3.01,62.0,3.05,62.0,2.98,62.0,3.73,62.0,15.32,3.06,310.0
115,De Cuyper,BHA,DEF,Regular Starter,eligible,fpl_single_usable_season,100% usable season 2025/26 (1404 mins),3.03,62.0,2.24,62.0,3.9,62.0,3.87,62.0,2.27,62.0,15.32,3.06,310.0
