horizon,budget_band,total_price,dcs,oc_score,s_risk,tot_rot_xp,rot_xp_per_gw,rot_avg_fdr,no_diff_pct,avg_fdr_corr,gkp_strategy,gkp_pairing,def_lineup
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,90.99,25.507,92.4,437.71,27.36,2.08,100.0,-0.2429,Active 2-GKP Rotation,Verbruggen (BHA) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + O'Nien (SUN)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.98,25.491,92.53,435.18,27.2,2.02,96.9,-0.2651,Active 2-GKP Rotation,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + Ajayi (HUL)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,90.97,25.313,94.3,436.88,27.3,1.99,100.0,-0.2399,Active 2-GKP Rotation,Verbruggen (BHA) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + O'Nien (SUN)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,90.97,25.443,92.99,436.68,27.29,1.97,96.9,-0.2727,Active 2-GKP Rotation,Petrović (BOU) + Pope (NEW),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + O'Nien (SUN)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,90.96,25.501,92.4,437.61,27.35,2.08,100.0,-0.2429,Active 2-GKP Rotation,Rushworth (COV) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + O'Nien (SUN)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,90.95,25.307,94.3,436.78,27.3,1.99,100.0,-0.2399,Active 2-GKP Rotation,Rushworth (COV) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + O'Nien (SUN)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.95,25.537,92.01,435.91,27.24,2.04,96.9,-0.2661,Active 2-GKP Rotation,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Aina (NFO)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.94,25.453,92.82,434.57,27.16,1.96,96.9,-0.2492,Active 2-GKP Rotation,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Ajayi (HUL)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.93,25.438,92.95,434.33,27.15,1.96,96.9,-0.2663,Active 2-GKP Rotation,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Thomas (COV)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.92,25.488,92.42,435.13,27.2,2.04,96.9,-0.3203,Active 2-GKP Rotation,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Pau (AVL) + Vuskovic (BHA) + O'Nien (SUN)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.88,25.405,93.16,433.8,27.11,1.95,96.9,-0.2942,Active 2-GKP Rotation,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Greaves (IPS)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.88,25.488,92.31,435.13,27.2,2.03,96.9,-0.2826,Active 2-GKP Rotation,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Castagne (FUL) + Greaves (IPS)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.84,25.524,91.87,435.7,27.23,2.03,96.9,-0.2233,Active 2-GKP Rotation,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Castagne (FUL)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.83,25.522,91.86,435.68,27.23,2.02,96.9,-0.1987,Active 2-GKP Rotation,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Ajayi (HUL) + Justin (LEE)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.82,25.532,91.73,435.83,27.24,2.03,96.9,-0.2056,Active 2-GKP Rotation,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Heaven (MUN)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.81,25.68,90.23,438.2,27.39,2.05,93.8,-0.2585,Active 2-GKP Rotation,Petrović (BOU) + Pope (NEW),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Greaves (IPS)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,90.81,25.317,93.85,436.94,27.31,1.99,100.0,-0.1797,Active 2-GKP Rotation,Verbruggen (BHA) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Ajayi (HUL)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,90.8,25.446,92.54,436.74,27.3,1.97,96.9,-0.2124,Active 2-GKP Rotation,Petrović (BOU) + Pope (NEW),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Ajayi (HUL)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.8,25.482,92.19,435.04,27.19,2.05,96.9,-0.3125,Active 2-GKP Rotation,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Hume (SUN)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,90.79,25.548,91.49,438.37,27.4,2.03,96.9,-0.1727,Active 2-GKP Rotation,Petrović (BOU) + Pope (NEW),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Justin (LEE)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.79,25.369,93.27,433.23,27.08,1.96,96.9,-0.3095,Active 2-GKP Rotation,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + O'Nien (SUN)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,90.78,25.31,93.85,436.84,27.3,1.99,100.0,-0.1797,Active 2-GKP Rotation,Rushworth (COV) + Donnarumma (MCI),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Smith (BOU) + Ajayi (HUL)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.0,90.77,25.607,90.86,434.75,27.17,2.03,93.8,-0.2953,Active 2-GKP Rotation,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Greaves (IPS)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.77,25.506,91.86,435.42,27.21,2.05,96.9,-0.2684,Active 2-GKP Rotation,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Aina (NFO)
gw4_19_wc4,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,90.76,25.528,91.61,438.05,27.38,2.04,96.9,-0.2126,Active 2-GKP Rotation,Petrović (BOU) + Pope (NEW),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Justin (LEE)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.75,25.475,92.11,434.92,27.18,2.02,96.9,-0.2095,Active 2-GKP Rotation,Rushworth (COV) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Thomas (COV) + Justin (LEE)
gw4_19_wc4,Band 3: Single Anchor (£33.5m-£34.5m),34.5,90.75,25.496,91.91,435.26,27.2,2.04,96.9,-0.2522,Active 2-GKP Rotation,Verbruggen (BHA) + Petrović (BOU),Calafiori (ARS) + J.Timber (ARS) + Vuskovic (BHA) + Greaves (IPS) + Heaven (MUN)
