horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Kelleher (BRE),Martinez,AVL,5.0,Kelleher,BRE,5.0,10.0,38,231.9,6.1,5.676,64.92,47.64,2.86,50.0,0.0,-0.0379,0.5437,10.82
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Sánchez (CHE),Martinez,AVL,5.0,Sánchez,CHE,5.0,10.0,3,23.37,7.79,7.363,63.93,9.83,3.12,0.0,0.0,0.8824,0.582,1.08
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Sánchez (CHE),Martinez,AVL,5.0,Sánchez,CHE,5.0,10.0,16,96.93,6.06,5.631,73.93,72.06,2.66,81.2,6.2,-0.5682,0.5507,4.93
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Sánchez (CHE),Martinez,AVL,5.0,Sánchez,CHE,5.0,10.0,19,114.84,6.04,5.617,70.84,64.93,2.73,73.7,5.3,-0.3649,0.5556,5.71
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Sánchez (CHE),Martinez,AVL,5.0,Sánchez,CHE,5.0,10.0,38,229.67,6.04,5.617,70.11,63.1,2.74,71.1,5.3,-0.3249,0.5552,11.03
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Henderson (CRY),Martinez,AVL,5.0,Henderson,CRY,5.0,10.0,3,23.46,7.82,7.394,71.31,28.28,3.0,33.3,0.0,0.9993,0.5608,1.09
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Henderson (CRY),Martinez,AVL,5.0,Henderson,CRY,5.0,10.0,16,97.26,6.08,5.652,68.06,56.5,2.74,62.5,6.2,-0.0164,0.537,4.69
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Henderson (CRY),Martinez,AVL,5.0,Henderson,CRY,5.0,10.0,19,115.26,6.07,5.64,67.02,54.43,2.78,63.2,5.3,0.1779,0.5408,5.5
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Henderson (CRY),Martinez,AVL,5.0,Henderson,CRY,5.0,10.0,38,229.91,6.05,5.624,67.47,56.23,2.82,65.8,2.6,-0.0045,0.5452,10.96
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Leno (FUL),Martinez,AVL,5.0,Leno,FUL,4.5,9.5,3,23.25,7.75,7.464,77.35,43.37,2.96,33.3,0.0,-0.8728,0.5338,1.14
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Leno (FUL),Martinez,AVL,5.0,Leno,FUL,4.5,9.5,16,97.73,6.11,5.823,72.73,60.83,2.77,68.8,0.0,-0.269,0.5337,4.82
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Leno (FUL),Martinez,AVL,5.0,Leno,FUL,4.5,9.5,19,115.58,6.08,5.799,72.66,61.71,2.76,68.4,0.0,-0.3722,0.5337,5.77
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Leno (FUL),Martinez,AVL,5.0,Leno,FUL,4.5,9.5,38,230.98,6.08,5.794,71.96,60.17,2.77,65.8,0.0,-0.3773,0.5379,11.44
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Scherpen (IPS),Martinez,AVL,5.0,Scherpen,IPS,4.5,9.5,3,23.23,7.74,7.457,65.34,13.35,3.03,0.0,0.0,0.6853,0.5654,1.12
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Scherpen (IPS),Martinez,AVL,5.0,Scherpen,IPS,4.5,9.5,16,96.39,6.02,5.74,68.4,53.56,2.89,68.8,0.0,0.339,0.5387,4.65
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Scherpen (IPS),Martinez,AVL,5.0,Scherpen,IPS,4.5,9.5,19,114.16,6.01,5.724,66.62,49.82,2.91,63.2,0.0,0.3944,0.5429,5.48
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Scherpen (IPS),Martinez,AVL,5.0,Scherpen,IPS,4.5,9.5,38,228.22,6.01,5.721,66.0,48.38,2.91,57.9,0.0,0.2418,0.5484,10.91
