pair_name,gkp1_name,gkp1_club,gkp1_cost,gkp2_name,gkp2_club,gkp2_cost,combined_cost,combined_cost_band,total_mod_fdr,total_base_fdr,avg_mod_fdr,avg_base_fdr,n_gw_mod_le_2_25,pct_gw_mod_le_2_25,max_mod_fdr
Suzuki (AVL) + Trafford (LEE),Suzuki,AVL,5.0,Trafford,LEE,5.0,10.0,10.0,45.25,47.0,2.382,2.474,10,52.6,3.25
Leno (FUL) + Donnarumma (MCI),Leno,FUL,4.5,Donnarumma,MCI,5.5,10.0,10.0,45.25,47.0,2.382,2.474,11,57.9,4.25
Rushworth (COV) + Pickford (EVE),Rushworth,COV,4.5,Pickford,EVE,5.5,10.0,10.0,45.25,48.0,2.382,2.526,10,52.6,3.75
Martinez (CHE) + Sels (NFO),Martinez,CHE,5.0,Sels,NFO,5.0,10.0,10.0,45.75,46.0,2.408,2.421,11,57.9,3.25
Suzuki (AVL) + Sels (NFO),Suzuki,AVL,5.0,Sels,NFO,5.0,10.0,10.0,45.75,47.0,2.408,2.474,12,63.2,3.75
Martinez (CHE) + Horníček (NEW),Martinez,CHE,5.0,Horníček,NEW,5.0,10.0,10.0,45.75,47.0,2.408,2.474,10,52.6,3.25
Pickford (EVE) + Kinsky (TOT),Pickford,EVE,5.5,Kinsky,TOT,4.5,10.0,10.0,45.75,47.0,2.408,2.474,11,57.9,4.25
A.Becker (LIV) + Kinsky (TOT),A.Becker,LIV,5.5,Kinsky,TOT,4.5,10.0,10.0,45.75,48.0,2.408,2.526,11,57.9,3.75
Suzuki (AVL) + Martinez (CHE),Suzuki,AVL,5.0,Martinez,CHE,5.0,10.0,10.0,46.25,47.0,2.434,2.474,10,52.6,3.25
Suzuki (AVL) + Roefs (SUN),Suzuki,AVL,5.0,Roefs,SUN,5.0,10.0,10.0,46.25,48.0,2.434,2.526,11,57.9,3.75
Verbruggen (BHA) + A.Becker (LIV),Verbruggen,BHA,4.5,A.Becker,LIV,5.5,10.0,10.0,46.25,48.0,2.434,2.526,10,52.6,3.75
Martinez (CHE) + Roefs (SUN),Martinez,CHE,5.0,Roefs,SUN,5.0,10.0,10.0,46.75,47.0,2.461,2.474,10,52.6,3.25
Scherpen (IPS) + A.Becker (LIV),Scherpen,IPS,4.5,A.Becker,LIV,5.5,10.0,10.0,46.75,48.0,2.461,2.526,10,52.6,3.75
Suzuki (AVL) + Kelleher (BRE),Suzuki,AVL,5.0,Kelleher,BRE,5.0,10.0,10.0,47.25,48.0,2.487,2.526,9,47.4,3.25
Suzuki (AVL) + Lammens (MUN),Suzuki,AVL,5.0,Lammens,MUN,5.0,10.0,10.0,47.25,48.0,2.487,2.526,10,52.6,4.25
Rushworth (COV) + A.Becker (LIV),Rushworth,COV,4.5,A.Becker,LIV,5.5,10.0,10.0,47.25,48.0,2.487,2.526,10,52.6,4.25
Trafford (LEE) + Roefs (SUN),Trafford,LEE,5.0,Roefs,SUN,5.0,10.0,10.0,47.25,48.0,2.487,2.526,11,57.9,4.25
Petrović (BOU) + Pickford (EVE),Petrović,BOU,4.5,Pickford,EVE,5.5,10.0,10.0,47.25,49.0,2.487,2.579,9,47.4,4.25
Donnarumma (MCI) + Kinsky (TOT),Donnarumma,MCI,5.5,Kinsky,TOT,4.5,10.0,10.0,47.25,49.0,2.487,2.579,10,52.6,4.25
Verbruggen (BHA) + Pickford (EVE),Verbruggen,BHA,4.5,Pickford,EVE,5.5,10.0,10.0,47.75,48.0,2.513,2.526,10,52.6,4.25
Verbruggen (BHA) + Donnarumma (MCI),Verbruggen,BHA,4.5,Donnarumma,MCI,5.5,10.0,10.0,47.75,49.0,2.513,2.579,9,47.4,4.25
