pair_name,gkp1_name,gkp1_club,gkp1_cost,gkp2_name,gkp2_club,gkp2_cost,combined_cost,combined_cost_band,total_mod_fdr,total_base_fdr,avg_mod_fdr,avg_base_fdr,n_gw_mod_le_2_25,pct_gw_mod_le_2_25,max_mod_fdr
Verbruggen (BHA) + Scherpen (IPS),Verbruggen,BHA,4.5,Scherpen,IPS,4.5,9.0,9.0,48.25,49.0,2.539,2.579,10,52.6,4.25
Rushworth (COV) + Scherpen (IPS),Rushworth,COV,4.5,Scherpen,IPS,4.5,9.0,9.0,48.75,51.0,2.566,2.684,8,42.1,4.25
Verbruggen (BHA) + Leno (FUL),Verbruggen,BHA,4.5,Leno,FUL,4.5,9.0,9.0,49.25,49.0,2.592,2.579,10,52.6,4.25
Leno (FUL) + Scherpen (IPS),Leno,FUL,4.5,Scherpen,IPS,4.5,9.0,9.0,49.25,49.0,2.592,2.579,9,47.4,3.75
Petrović (BOU) + Tzolakis (HUL),Petrović,BOU,4.5,Tzolakis,HUL,4.6,9.1,9.0,46.75,49.0,2.461,2.579,9,47.4,3.75
Verbruggen (BHA) + Tzolakis (HUL),Verbruggen,BHA,4.5,Tzolakis,HUL,4.6,9.1,9.0,47.25,49.0,2.487,2.579,8,42.1,3.25
Tzolakis (HUL) + Scherpen (IPS),Tzolakis,HUL,4.6,Scherpen,IPS,4.5,9.1,9.0,48.25,49.0,2.539,2.579,8,42.1,3.25
Leno (FUL) + Tzolakis (HUL),Leno,FUL,4.5,Tzolakis,HUL,4.6,9.1,9.0,49.25,50.0,2.592,2.632,9,47.4,4.25
Rushworth (COV) + Tzolakis (HUL),Rushworth,COV,4.5,Tzolakis,HUL,4.6,9.1,9.0,49.75,51.0,2.618,2.684,8,42.1,3.75
Tzolakis (HUL) + Kinsky (TOT),Tzolakis,HUL,4.6,Kinsky,TOT,4.5,9.1,9.0,49.75,51.0,2.618,2.684,7,36.8,4.25
Sels (NFO) + Kinsky (TOT),Sels,NFO,5.0,Kinsky,TOT,4.5,9.5,9.5,43.75,46.0,2.303,2.421,11,57.9,3.25
Kinsky (TOT) + Roefs (SUN),Kinsky,TOT,4.5,Roefs,SUN,5.0,9.5,9.5,44.25,46.0,2.329,2.421,11,57.9,3.25
Petrović (BOU) + Roefs (SUN),Petrović,BOU,4.5,Roefs,SUN,5.0,9.5,9.5,44.75,47.0,2.355,2.474,11,57.9,3.75
Rushworth (COV) + Sels (NFO),Rushworth,COV,4.5,Sels,NFO,5.0,9.5,9.5,44.75,48.0,2.355,2.526,10,52.6,3.75
Rushworth (COV) + Trafford (LEE),Rushworth,COV,4.5,Trafford,LEE,5.0,9.5,9.5,45.25,48.0,2.382,2.526,10,52.6,3.75
Suzuki (AVL) + Rushworth (COV),Suzuki,AVL,5.0,Rushworth,COV,4.5,9.5,9.5,45.75,46.0,2.408,2.421,11,57.9,3.25
Suzuki (AVL) + Petrović (BOU),Suzuki,AVL,5.0,Petrović,BOU,4.5,9.5,9.5,45.75,47.0,2.408,2.474,11,57.9,3.75
Petrović (BOU) + Sels (NFO),Petrović,BOU,4.5,Sels,NFO,5.0,9.5,9.5,45.75,47.0,2.408,2.474,10,52.6,3.25
Martinez (CHE) + Scherpen (IPS),Martinez,CHE,5.0,Scherpen,IPS,4.5,9.5,9.5,45.75,47.0,2.408,2.474,11,57.9,3.75
Petrović (BOU) + Lammens (MUN),Petrović,BOU,4.5,Lammens,MUN,5.0,9.5,9.5,45.75,48.0,2.408,2.526,9,47.4,3.25
Scherpen (IPS) + Trafford (LEE),Scherpen,IPS,4.5,Trafford,LEE,5.0,9.5,9.5,45.75,48.0,2.408,2.526,10,52.6,3.75
Trafford (LEE) + Kinsky (TOT),Trafford,LEE,5.0,Kinsky,TOT,4.5,9.5,9.5,45.75,48.0,2.408,2.526,10,52.6,4.25
Petrović (BOU) + Martinez (CHE),Petrović,BOU,4.5,Martinez,CHE,5.0,9.5,9.5,46.25,47.0,2.434,2.474,12,63.2,5.25
Verbruggen (BHA) + Roefs (SUN),Verbruggen,BHA,4.5,Roefs,SUN,5.0,9.5,9.5,46.25,47.0,2.434,2.474,11,57.9,3.75
Petrović (BOU) + Henderson (CRY),Petrović,BOU,4.5,Henderson,CRY,5.0,9.5,9.5,46.25,48.0,2.434,2.526,10,52.6,3.75
Kelleher (BRE) + Rushworth (COV),Kelleher,BRE,5.0,Rushworth,COV,4.5,9.5,9.5,46.25,48.0,2.434,2.526,10,52.6,3.75
Martinez (CHE) + Leno (FUL),Martinez,CHE,5.0,Leno,FUL,4.5,9.5,9.5,46.25,48.0,2.434,2.526,10,52.6,3.75
