pair_label,gameweek,gkp1_opp,gkp1_mod_fdr,gkp2_opp,gkp2_mod_fdr,started_gkp,started_fixture,effective_mod_fdr
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",9,LEE (H),1.75,HUL (A),2.25,Petrović,LEE (H),1.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",10,IPS (A),2.25,BOU (H),2.75,Petrović,IPS (A),2.25
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",11,NFO (H),2.75,TOT (A),3.25,Petrović,NFO (H),2.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",12,FUL (A),3.25,AVL (H),2.75,Scherpen,AVL (H),2.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",13,BHA (H),1.75,COV (A),2.25,Petrović,BHA (H),1.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",14,HUL (H),1.75,LEE (A),3.25,Petrović,HUL (H),1.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",15,ARS (A),5.25,NEW (H),1.75,Scherpen,NEW (H),1.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",16,COV (H),1.75,BHA (A),3.25,Petrović,COV (H),1.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",17,TOT (A),3.25,BRE (H),2.75,Scherpen,BRE (H),2.75
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",18,CRY (A),3.25,CHE (H),3.75,Petrović,CRY (A),3.25
"Petrović (BOU, £4.5m) + Scherpen (IPS, £4.5m)",19,AVL (H),2.75,ARS (A),5.25,Petrović,AVL (H),2.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",1,ARS (A),5.25,BOU (H),2.75,Donnarumma,BOU (H),2.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",2,HUL (H),1.75,CRY (A),3.25,Rushworth,HUL (H),1.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",3,MCI (A),5.25,COV (H),1.75,Donnarumma,COV (H),1.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",4,BHA (H),1.75,MUN (A),4.25,Rushworth,BHA (H),1.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",5,NFO (A),3.25,SUN (H),1.75,Donnarumma,SUN (H),1.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",6,NEW (H),1.75,LIV (A),4.25,Rushworth,NEW (H),1.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",7,TOT (A),3.25,IPS (H),1.75,Donnarumma,IPS (H),1.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",8,FUL (H),1.75,AVL (A),4.25,Rushworth,FUL (H),1.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",9,SUN (H),1.75,BHA (H),1.75,Rushworth,SUN (H),1.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",10,EVE (A),3.25,NFO (A),3.25,Rushworth,EVE (A),3.25
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",11,CRY (H),2.75,FUL (H),1.75,Donnarumma,FUL (H),1.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",12,LEE (A),3.25,ARS (A),5.25,Rushworth,LEE (A),3.25
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",13,IPS (H),1.75,LEE (H),1.75,Rushworth,IPS (H),1.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",14,MUN (A),4.25,BRE (A),3.25,Donnarumma,BRE (A),3.25
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",15,AVL (H),2.75,CHE (H),3.75,Rushworth,AVL (H),2.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",16,BOU (A),3.25,HUL (H),1.75,Donnarumma,HUL (H),1.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",17,CHE (H),3.75,NEW (A),3.25,Donnarumma,NEW (A),3.25
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",18,BRE (H),2.75,EVE (A),3.25,Rushworth,BRE (H),2.75
"Rushworth (COV, £4.5m) + Donnarumma (MCI, £5.5m)",19,LIV (A),4.25,TOT (H),2.75,Donnarumma,TOT (H),2.75
