num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw1_max_fdr,gw2_avg_fdr,gw3_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
4,2+1+1+1,ARS-BRE-BRE-IPS-MUN,ARS,BRE,BRE,IPS,MUN,2.36,2.8,2.4,2.28,2.34,2.3502,-0.0465
3,2+2+1,ARS-BRE-BRE-MUN-MUN,ARS,BRE,BRE,MUN,MUN,2.48,2.8,2.25,2.28,2.27,2.3607,0.0014
4,2+1+1+1,ARS-BRE-BHA-BHA-CHE,ARS,BRE,BHA,BHA,CHE,2.36,2.6,2.65,2.41,2.53,2.4543,0.3409
4,2+1+1+1,ARS-BRE-BHA-BHA-CRY,ARS,BRE,BHA,BHA,CRY,2.36,2.6,2.65,2.35,2.5,2.4383,0.3343
4,2+1+1+1,ARS-BRE-BHA-BHA-IPS,ARS,BRE,BHA,BHA,IPS,2.34,2.6,2.65,2.41,2.53,2.4425,0.3152
4,2+1+1+1,ARS-BRE-BHA-BHA-MUN,ARS,BRE,BHA,BHA,MUN,2.45,2.8,2.4,2.29,2.35,2.3924,0.0292
4,2+1+1+1,ARS-BRE-BHA-CHE-CHE,ARS,BRE,BHA,CHE,CHE,2.31,2.6,2.65,2.41,2.53,2.4329,0.3539
5,1+1+1+1+1,ARS-BRE-BHA-CHE-CRY,ARS,BRE,BHA,CHE,CRY,2.32,2.6,2.65,2.35,2.5,2.417,0.3316
5,1+1+1+1+1,ARS-BRE-BHA-CHE-IPS,ARS,BRE,BHA,CHE,IPS,2.29,2.6,2.65,2.41,2.53,2.4211,0.3389
5,1+1+1+1+1,ARS-BRE-BHA-CHE-MUN,ARS,BRE,BHA,CHE,MUN,2.4,2.8,2.4,2.29,2.35,2.371,0.0026
4,2+1+1+1,ARS-BRE-BHA-CRY-CRY,ARS,BRE,BHA,CRY,CRY,2.32,2.6,2.65,2.35,2.5,2.4187,0.3295
5,1+1+1+1+1,ARS-BRE-BHA-CRY-IPS,ARS,BRE,BHA,CRY,IPS,2.29,2.6,2.65,2.35,2.5,2.4052,0.3032
5,1+1+1+1+1,ARS-BRE-BHA-CRY-MUN,ARS,BRE,BHA,CRY,MUN,2.41,2.8,2.4,2.29,2.35,2.3728,0.0341
4,2+1+1+1,ARS-BRE-BHA-IPS-IPS,ARS,BRE,BHA,IPS,IPS,2.26,2.6,2.65,2.41,2.53,2.4093,0.3345
5,1+1+1+1+1,ARS-BRE-BHA-IPS-MUN,ARS,BRE,BHA,IPS,MUN,2.38,2.8,2.4,2.29,2.35,2.3592,-0.0335
4,2+1+1+1,ARS-BRE-BHA-MUN-MUN,ARS,BRE,BHA,MUN,MUN,2.49,2.8,2.25,2.29,2.27,2.3697,-0.0604
4,2+1+1+1,ARS-BRE-CHE-CHE-CRY,ARS,BRE,CHE,CHE,CRY,2.27,2.6,2.87,2.35,2.61,2.4555,0.3412
4,2+1+1+1,ARS-BRE-CHE-CHE-IPS,ARS,BRE,CHE,CHE,IPS,2.24,2.6,2.79,2.56,2.68,2.4783,0.3748
4,2+1+1+1,ARS-BRE-CHE-CHE-MUN,ARS,BRE,CHE,CHE,MUN,2.35,2.8,2.4,2.29,2.35,2.3497,-0.0118
4,2+1+1+1,ARS-BRE-CHE-CRY-CRY,ARS,BRE,CHE,CRY,CRY,2.27,2.6,2.87,2.35,2.61,2.4572,0.3234
5,1+1+1+1+1,ARS-BRE-CHE-CRY-IPS,ARS,BRE,CHE,CRY,IPS,2.25,2.6,2.79,2.35,2.57,2.422,0.3234
5,1+1+1+1+1,ARS-BRE-CHE-CRY-MUN,ARS,BRE,CHE,CRY,MUN,2.36,2.8,2.4,2.29,2.35,2.3514,0.004
4,2+1+1+1,ARS-BRE-CHE-IPS-IPS,ARS,BRE,CHE,IPS,IPS,2.22,2.6,2.79,2.56,2.68,2.4665,0.381
5,1+1+1+1+1,ARS-BRE-CHE-IPS-MUN,ARS,BRE,CHE,IPS,MUN,2.33,2.8,2.4,2.29,2.35,2.3379,-0.0372
4,2+1+1+1,ARS-BRE-CHE-MUN-MUN,ARS,BRE,CHE,MUN,MUN,2.44,2.8,2.25,2.29,2.27,2.3484,-0.1144
4,2+1+1+1,ARS-BRE-CRY-CRY-IPS,ARS,BRE,CRY,CRY,IPS,2.25,2.6,2.79,2.35,2.57,2.4237,0.2922
4,2+1+1+1,ARS-BRE-CRY-CRY-MUN,ARS,BRE,CRY,CRY,MUN,2.36,2.8,2.4,2.29,2.35,2.3531,0.0399
4,2+1+1+1,ARS-BRE-CRY-IPS-IPS,ARS,BRE,CRY,IPS,IPS,2.22,2.6,2.79,2.35,2.57,2.4102,0.3162
5,1+1+1+1+1,ARS-BRE-CRY-IPS-MUN,ARS,BRE,CRY,IPS,MUN,2.33,2.8,2.4,2.29,2.35,2.3396,-0.0349
4,2+1+1+1,ARS-BRE-CRY-MUN-MUN,ARS,BRE,CRY,MUN,MUN,2.45,2.8,2.25,2.29,2.27,2.3501,-0.0449
4,2+1+1+1,ARS-BRE-IPS-IPS-MUN,ARS,BRE,IPS,IPS,MUN,2.3,2.8,2.4,2.29,2.35,2.3261,-0.0521
