horizon,strategy,type,pairing,gkp1,club1,price1,gkp2,club2,price2,total_price,num_gws,tot_rot_xp,rot_xp_per_gw,oc_score,dcs,s_risk,rot_avg_fdr,no_diff_pct,all_easy_pct,fdr_corr,foi,expected_cs
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Scherpen (IPS),Martinez,AVL,5.0,Scherpen,IPS,4.5,9.5,38,228.55,6.01,5.72,76.3,74.17,2.61,92.1,47.4,0.0341,0.5171,11.96
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Trafford (LEE),Martinez,AVL,5.0,Trafford,LEE,5.0,10.0,3,23.89,7.96,7.522,76.67,41.67,2.75,33.3,33.3,0.0,0.5345,1.19
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Trafford (LEE),Martinez,AVL,5.0,Trafford,LEE,5.0,10.0,16,97.22,6.08,5.635,79.03,84.65,2.44,100.0,56.2,-0.3145,0.524,5.32
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Trafford (LEE),Martinez,AVL,5.0,Trafford,LEE,5.0,10.0,19,115.39,6.07,5.631,78.54,83.59,2.47,100.0,52.6,-0.2856,0.5256,6.28
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Trafford (LEE),Martinez,AVL,5.0,Trafford,LEE,5.0,10.0,38,230.23,6.06,5.617,77.74,82.2,2.53,100.0,47.4,-0.2635,0.5282,12.6
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Lammens (MUN),Martinez,AVL,5.0,Lammens,MUN,5.0,10.0,3,25.16,8.39,7.944,83.93,59.83,2.25,33.3,33.3,-0.866,0.4134,1.62
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Lammens (MUN),Martinez,AVL,5.0,Lammens,MUN,5.0,10.0,16,96.85,6.05,5.612,74.97,75.49,2.62,93.8,43.8,-0.0936,0.4904,5.5
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Lammens (MUN),Martinez,AVL,5.0,Lammens,MUN,5.0,10.0,19,116.07,6.11,5.667,77.29,78.92,2.53,94.7,52.6,-0.1779,0.4782,6.83
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Lammens (MUN),Martinez,AVL,5.0,Lammens,MUN,5.0,10.0,38,231.99,6.1,5.663,75.92,75.66,2.55,92.1,52.6,0.0,0.4791,13.42
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Pope (NEW),Martinez,AVL,5.0,Pope,NEW,5.0,10.0,3,23.84,7.95,7.506,74.33,35.83,3.0,33.3,33.3,0.0,0.5466,1.07
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Pope (NEW),Martinez,AVL,5.0,Pope,NEW,5.0,10.0,16,96.32,6.02,5.578,76.89,81.72,2.5,100.0,50.0,-0.1183,0.5111,4.99
gw1_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Pope (NEW),Martinez,AVL,5.0,Pope,NEW,5.0,10.0,19,114.48,6.03,5.583,76.66,80.94,2.53,100.0,47.4,-0.0957,0.5167,5.91
full_season,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Pope (NEW),Martinez,AVL,5.0,Pope,NEW,5.0,10.0,38,228.46,6.01,5.57,76.38,80.8,2.53,100.0,47.4,-0.0774,0.5208,11.73
gw1_3,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Sels (NFO),Martinez,AVL,5.0,Sels,NFO,5.0,10.0,3,24.85,8.28,7.841,75.17,37.92,2.75,33.3,33.3,0.5,0.4981,1.32
gw4_19,Active 2-GKP Rotation,Active 2-GKP,Martinez (AVL) + Sels (NFO),Martinez,AVL,5.0,Sels,NFO,5.0,10.0,16,98.96,6.19,5.744,79.33,80.75,2.44,93.8,62.5,-0.2116,0.49,5.67
