player_id,player_code,web_name,club_short,position,expected_role,p_start,p_sub_in,p_dnp,xmins_if_start,xmins_if_sub_in,draft_availability,availability_override,usable_season_count,usable_mins_total,rate_source,per90_xg,per90_xa,per90_defcon,per90_defensive_contribution,per90_saves,per90_goals_conceded,provenance_note,price,club_id
204,244723,Mitchell,CRY,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,3253.0,prior_season_seed,0.044,0.07,6.7784,6.7784,0.0,1.3003,Prior-Season Seed 2025/26 (3253m),4.5,8
205,218364,Sosa,CRY,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.06,0.24,6.8,6.8,0.0,1.3421,2024/25 Eredivisie/Serie A; 1650m; FBref; dest GC CRY=1.342,4.5,8
206,515621,Chadi Riad,CRY,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.03,0.02,9.1,9.1,0.0,1.3421,2024/25 La Liga Real Betis; 2300m; FBref; dest GC CRY=1.342,4.5,8
220,590014,Cardines,CRY,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.04,0.06,7.5,7.5,0.0,1.3421,Palace U21/senior DEF proxy; dest GC CRY=1.342,4.5,8
229,17761,Tarkowski,EVE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3330.0,prior_season_seed,0.0684,0.0568,10.1622,10.1622,0.0,1.2973,Prior-Season Seed 2025/26 (3330m),6.0,9
230,480455,Branthwaite,EVE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,0,0.0,career_fpl_prior_year+destination_gc,0.043,0.0219,9.8286,9.8286,0.0,1.3158,Older FPL 2024/25 (2509m); destination GC overlay; dest GC EVE=1.316,5.5,9
232,512462,O'Brien,EVE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,3118.0,prior_season_seed,0.0482,0.0289,6.6677,6.6677,0.0,1.3278,Prior-Season Seed 2025/26 (3118m),5.0,9
233,224967,Mykolenko,EVE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2959.0,prior_season_seed,0.0085,0.0748,7.026,7.026,0.0,1.4295,Prior-Season Seed 2025/26 (2959m),4.5,9
234,243571,Patterson,EVE,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,0,0.0,career_fpl_prior_year+destination_gc,0.0306,0.0927,0.0,0.0,0.0,1.3158,Older FPL 2023/24 (1000m); destination GC overlay; dest GC EVE=1.316,4.5,9
235,499300,Aznou,EVE,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,0,0.0,career_individual+destination_gc,0.05,0.15,7.8,7.8,0.0,1.3158,Bayern II/Morocco U23 DEF; 1550m; dest GC EVE=1.316,4.0,9
254,169528,Robinson,FUL,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,1487.0,prior_season_seed,0.0648,0.0956,8.2313,8.2313,0.0,1.15,Prior-Season Seed 2025/26 (1487m),4.5,10
255,246301,J.Cuenca,FUL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,935.0,prior_season_seed,0.0048,0.051,11.262,11.262,0.0,1.0588,Prior-Season Seed 2025/26 (935m),4.5,10
256,167074,Tete,FUL,DEF,Regular Starter,0.75,0.1,0.15,80.0,20.0,eligible,,1,1791.0,prior_season_seed,0.0462,0.0734,8.2915,8.2915,0.0,1.2563,Prior-Season Seed 2025/26 (1791m),4.5,10
257,232892,Bassey,FUL,DEF,Nailed Starter,0.9,0.05,0.05,85.0,20.0,eligible,,1,2532.0,prior_season_seed,0.0608,0.0124,7.2867,7.2867,0.0,1.4218,Prior-Season Seed 2025/26 (2532m),4.5,10
