horizon,budget_band,total_price,dcs,oc_score,s_risk,tot_rot_xp,rot_xp_per_gw,rot_avg_fdr,no_diff_pct,avg_fdr_corr,gkp_strategy,gkp_pairing,def_lineup
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.37,23.9,81.94,77.44,25.81,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Ballard (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.0,80.37,23.744,83.49,76.09,25.36,2.25,100.0,0.4317,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Gvardiol (MCI) + O'Nien (SUN) + Ballard (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.36,23.896,81.94,77.43,25.81,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + O'Reilly (MCI) + Ballard (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.36,24.3,77.89,78.2,26.07,2.5,100.0,0.4,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Mendy (HUL) + O'Reilly (MCI)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.5,80.34,23.933,81.5,77.1,25.7,2.33,100.0,0.4317,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Gvardiol (MCI) + O'Nien (SUN) + Ballard (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),33.5,80.33,23.888,81.94,76.08,25.36,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Gvardiol (MCI) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),33.5,80.33,23.888,81.94,76.08,25.36,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Gvardiol (MCI) + Heaven (MUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.33,23.89,81.94,77.41,25.8,2.33,100.0,0.3817,Mid-Value Set & Forget,Roefs (SUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Dalot (MUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,80.32,24.086,79.95,78.44,26.15,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + O'Reilly (MCI) + Ballard (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.5,80.3,24.079,79.95,78.42,26.14,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Dalot (MUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.0,80.29,24.077,79.95,77.09,25.7,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Gvardiol (MCI) + Hume (SUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.0,80.29,24.077,79.95,77.09,25.7,2.42,100.0,0.3817,Premium Set & Forget,Donnarumma (MCI) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Gvardiol (MCI) + Heaven (MUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.0,80.29,24.084,79.88,77.11,25.7,2.41,100.0,0.4,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Mendy (HUL) + O'Reilly (MCI)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),34.0,80.26,23.717,83.49,76.01,25.34,2.25,100.0,0.4317,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Gvardiol (MCI) + O'Nien (SUN) + Ballard (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.25,23.87,81.94,77.35,25.78,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Mendy (HUL) + O'Reilly (MCI) + Ballard (SUN)
gw1_3_bb1,Band 4: Premium / Dual Anchor (£35.0m-£36.0m),35.0,80.23,23.863,81.94,77.33,25.78,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + O'Reilly (MCI) + Dalot (MUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),33.5,80.22,23.861,81.94,76.0,25.33,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Gvardiol (MCI) + Heaven (MUN)
gw1_3_bb1,Band 3: Single Anchor (£33.5m-£34.5m),33.5,80.22,23.861,81.94,76.0,25.33,2.33,100.0,0.3817,Mid-Value Set & Forget,Lammens (MUN) + Fodder (£4.0m),Calafiori (ARS) + Vuskovic (BHA) + Thomas (COV) + Gvardiol (MCI) + Hume (SUN)
