model,evaluation_season,gw_start,gw_end,seed_season,pool,position,eval_target,component,sample_count,mean_projected,mean_actual,signed_bias,bias_share,mae,rmse,mse_contrib,mse_share,rank_by_mse_share,twin_source,mse_share_twin,twin_shrink,signed_bias_twin,twin_link_bias,demotion_label,snapshot_backed,total_mse,total_signed_bias,shrink_theta,bias_tau
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,DEF,realized,xp_red_cards,2993,-0.014351792224958485,-0.011025726695623121,-0.0033260655293353633,0.003194984942103538,0.025301377152781544,0.1849204552307306,0.037957275712905865,0.0030855254649610783,10,none,,,,,no_twin,false,12.301721746893659,-1.0410269812243695,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,DEF,realized,xp_defcon,2993,0.3743423102069686,0.5452723020380889,-0.1709299918311202,0.1641936231374969,0.6576985403203633,0.8820375716902832,1.121474672534669,0.09116404155522828,4,none,,,,,no_twin,false,12.301721746893659,-1.0410269812243695,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,DEF,realized,xp_bonus,2993,0.11145475775306787,0.22552622786501839,-0.1140714701119505,0.10957590165222145,0.3055757102225615,0.6788402445895493,1.6727428716513577,0.13597632153188205,3,none,,,,,no_twin,false,12.301721746893659,-1.0410269812243695,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_minutes,3242,1.47773795962228,2.0231338679827267,-0.5453959083604466,0.6096561654287965,0.5517138005586841,0.6662255846609,0.8052309067592358,0.06643666560431304,4,none,,,,,no_twin,false,12.12027875623789,-0.8945959038679564,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_goals,3242,0.7457667699214354,0.7156076495990129,0.03015912032242251,-0.0337125625011514,1.2229985010675695,2.1099988421067732,5.774450685513917,0.4764288678213779,1,process_ga,0.20197764543896937,0.5760591788600548,0.06066498090231146,-0.03050586057988891,variance,false,12.12027875623789,-0.8945959038679564,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_assists,3242,0.37259094111857444,0.4552745219000617,-0.08268358078148726,0.09242561968369069,0.704459594370487,1.1858167669611765,1.820857187962289,0.15023228628509525,3,process_ga,0.021025212498432217,0.8600486418842568,0.028858677084027836,-0.11154225786551514,structural,false,12.12027875623789,-0.8945959038679564,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_clean_sheet,3242,0.2043332503645506,0.3053670573719926,-0.101033807007442,0.1129379271362668,0.3816263731256519,0.48025193979741126,0.3444212956912935,0.028416945073481224,6,poisson_xgc,0.02140147146669266,0.24687641787840964,-0.16353793698036603,0.06250412997292404,structural,false,12.12027875623789,-0.8945959038679564,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_conceded,3242,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,11,poisson_xgc,0.0,,0.0,0.0,no_twin,false,12.12027875623789,-0.8945959038679564,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_saves,3242,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,12,none,,,,,no_twin,false,12.12027875623789,-0.8945959038679564,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_penalties_saved,3242,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,13,none,,,,,no_twin,false,12.12027875623789,-0.8945959038679564,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_penalties_missed,3242,-0.004560144771326673,-0.00431832202344232,-0.00024182274788435388,0.0002703150627437338,0.008702630835074712,0.09505124022981092,0.019934255181574385,0.0016447026988809898,9,none,,,,,no_twin,false,12.12027875623789,-0.8945959038679564,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_own_goals,3242,-0.002167713036368837,-0.0030845157310302285,0.0009168026946613909,-0.001024823264557125,0.005216790006817647,0.07920836958325465,0.008196602785242061,0.0006762718044767371,10,none,,,,,no_twin,false,12.12027875623789,-0.8945959038679564,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_yellow_cards,3242,-0.11918304301396435,-0.16132017273288093,0.0421371297189166,-0.04710185854499072,0.23629635058437112,0.371432427334295,0.13097671159131327,0.010806410828125885,7,none,,,,,no_twin,false,12.12027875623789,-0.8945959038679564,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_red_cards,3242,-0.00961289829144529,-0.006477483035163479,-0.00313541525628181,0.0035048397189448807,0.016075820831681076,0.14199506532762615,0.027376544005662157,0.0022587388092515934,8,none,,,,,no_twin,false,12.12027875623789,-0.8945959038679564,0.5,0.05
participation_state_hybrid,2025-26,1,38,2024-25,mins_60,MID,realized,xp_defcon,3242,0.24666120639290814,0.3608883405305367,-0.11422713413762858,0.12768573346216514,0.4631145327287525,0.7360661400729119,0.722158304007686,0.059582648100070794,5,none,,,,,no_twin,false,12.12027875623789,-0.8945959038679564,0.5,0.05
