player_id,web_name,club_short,price,expected_role,per90_xg,per90_xa,per90_defcon,per90_goals_conceded,rate_source,usable_mins_total
257,Bassey,FUL,4.5,Nailed Starter,0.0608,0.0124,7.2867,1.4218,prior_season_seed,2532.0
36,Maatsen,AVL,4.5,Regular Starter,0.0713,0.1353,7.2453,1.5283,prior_season_seed,1590.0
233,Mykolenko,EVE,4.5,Regular Starter,0.0085,0.0748,7.026,1.4295,prior_season_seed,2959.0
204,Mitchell,CRY,4.5,Nailed Starter,0.044,0.07,6.7784,1.3003,prior_season_seed,3253.0
423,Shaw,MUN,4.5,Nailed Starter,0.0201,0.0553,6.2609,1.2578,prior_season_seed,3220.0
88,Kayode,BRE,4.5,Nailed Starter,0.0354,0.0798,6.0497,1.3536,prior_season_seed,3258.0
534,Hume,SUN,4.5,Regular Starter,0.0674,0.0609,6.0257,1.2467,prior_season_seed,3032.0
34,Pau,AVL,4.5,Regular Starter,0.0715,0.021,6.0251,1.0221,prior_season_seed,1673.0
64,Smith,BOU,4.5,Regular Starter,0.0,0.0193,5.8714,1.342,prior_season_seed,1073.0
31,Konsa,AVL,4.5,Nailed Starter,0.0377,0.0175,5.8122,1.3048,prior_season_seed,3035.0
330,Bogle,LEE,4.5,Regular Starter,0.067,0.1001,5.7317,1.4168,prior_season_seed,2795.0
32,Cash,AVL,4.5,Nailed Starter,0.034,0.0877,5.5504,1.134,prior_season_seed,3016.0
113,F.Kadıoğlu,BHA,4.5,Regular Starter,0.0592,0.0952,4.8882,1.1789,prior_season_seed,3130.0
541,Meunier,SUN,4.5,Regular Starter,0.12,0.17,4.8,1.2632,career_individual+destination_gc,0.0
502,Robertson,TOT,4.5,Regular Starter,0.085,0.1082,4.2489,1.2361,prior_season_seed,1165.0
304,O'Shea,IPS,4.0,Regular Starter,0.0372,0.0193,10.0897,1.375,career_fpl_prior_year+destination_gc,0.0
306,Greaves,IPS,4.0,Regular Starter,0.0535,0.0086,9.4286,1.375,career_fpl_prior_year+destination_gc,0.0
182,Amenda,COV,4.0,Regular Starter,0.041,0.047,8.97,1.375,career_individual+destination_gc,0.0
173,Thomas,COV,4.0,Regular Starter,0.089,0.104,8.56,1.375,career_individual+destination_gc,0.0
279,Ajayi,HUL,4.0,Regular Starter,0.04,0.03,8.5,1.375,external_3season_research+destination_gc,0.0
539,O'Nien,SUN,4.0,Regular Starter,0.0239,0.0207,6.8496,1.115,prior_season_seed,565.0
259,Diop,IPS,4.0,Regular Starter,0.0887,0.0055,6.7611,1.4409,prior_season_seed,812.0
175,van Ewijk,COV,4.0,Regular Starter,0.026,0.141,6.42,1.375,career_individual+destination_gc,0.0
280,Coyle,HUL,4.0,Regular Starter,0.01,0.091,6.18,1.375,career_individual+destination_gc,0.0
305,Davis,IPS,4.0,Regular Starter,0.0322,0.1556,4.9234,1.375,career_fpl_prior_year+destination_gc,0.0
277,Egan,HUL,4.0,Regular Starter,0.0317,0.0,0.0,1.375,career_fpl_prior_year+destination_gc,0.0
282,Giles,HUL,4.0,Regular Starter,0.0217,0.1012,0.0,1.375,career_fpl_prior_year+destination_gc,0.0
