num_unique_clubs,allocation_pattern,clubs,club1,club2,club3,club4,club5,gw1_avg_fdr,gw1_max_fdr,gw2_avg_fdr,gw3_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
3,2+2+1,LIV-MUN-MUN-NFO-NFO,LIV,MUN,MUN,NFO,NFO,2.2,3.0,2.33,2.67,2.5,2.3636,-0.2
3,2+2+1,LIV-NFO-NFO-SUN-SUN,LIV,NFO,NFO,SUN,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.2
3,2+2+1,MCI-MUN-MUN-NFO-NFO,MCI,MUN,MUN,NFO,NFO,2.2,3.0,2.33,2.67,2.5,2.3636,-0.2
3,2+2+1,MCI-NFO-NFO-SUN-SUN,MCI,NFO,NFO,SUN,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.2
3,2+2+1,ARS-ARS-BRE-MUN-MUN,ARS,ARS,BRE,MUN,MUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
3,2+2+1,ARS-ARS-BRE-SUN-SUN,ARS,ARS,BRE,SUN,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
3,2+2+1,ARS-ARS-LIV-MUN-MUN,ARS,ARS,LIV,MUN,MUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
3,2+2+1,ARS-ARS-LIV-SUN-SUN,ARS,ARS,LIV,SUN,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
3,2+2+1,ARS-ARS-MCI-MUN-MUN,ARS,ARS,MCI,MUN,MUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
3,2+2+1,ARS-ARS-MCI-SUN-SUN,ARS,ARS,MCI,SUN,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
3,2+2+1,BRE-IPS-IPS-MUN-MUN,BRE,IPS,IPS,MUN,MUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
4,2+1+1+1,BRE-MUN-NFO-NFO-SUN,BRE,MUN,NFO,NFO,SUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
3,2+2+1,IPS-IPS-LIV-MUN-MUN,IPS,IPS,LIV,MUN,MUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
3,2+2+1,IPS-IPS-MCI-MUN-MUN,IPS,IPS,MCI,MUN,MUN,2.2,3.0,2.33,2.67,2.5,2.3636,-0.1
