list,pick,fix_rank,combo,allocation_pattern,all_easy_gws,all_easy_pct,avg_fdr_corr,rot_avg_fdr,no_diff_gws,mean_gkp_xcs,mean_def_xcs,n_elite,n_strong,n_cs_plus,n_prom,n_weak,cs_core,leaks,gate,fail,verdict
gw4_19_final20,5,9,ARS-BOU-COV-FUL-MCI,1+1+1+1+1,5,31.2,-0.021,2.4792,16,0.3354,0.3433,2,0,2,1,1,ARS-MCI,BOU-COV,pass,,CAUTION
gw4_19_final20,6,11,BHA-COV-LIV-MCI-SUN,1+1+1+1+1,4,25.0,-0.1292,2.4792,16,0.3098,0.2997,1,2,3,1,0,BHA-LIV-MCI,COV,pass,,PICK
gw4_19_final20,7,15,BHA-CRY-LIV-MCI-NFO,1+1+1+1+1,4,25.0,-0.0977,2.4792,16,0.3096,0.3053,1,2,3,0,1,BHA-LIV-MCI,CRY,pass,,PICK
gw4_19_final20,8,19,BHA-COV-LIV-NFO-SUN,1+1+1+1+1,4,25.0,-0.0796,2.5208,16,0.2783,0.2744,0,2,2,1,0,BHA-LIV,COV,pass,,CAUTION
gw4_19_final20,9,21,AVL-CHE-HUL-LEE-LIV,1+1+1+1+1,4,25.0,-0.0755,2.5,16,0.262,0.2586,0,2,2,1,2,AVL-LIV,CHE-HUL-LEE,pass,,CAUTION
gw4_19_final20,10,24,BHA-COV-CRY-MCI-SUN,1+1+1+1+1,4,25.0,-0.0677,2.5208,16,0.2995,0.3041,1,1,2,1,1,BHA-MCI,COV-CRY,pass,,CAUTION
gw4_19_final20,11,28,AVL-BHA-BRE-HUL-LEE,1+1+1+1+1,4,25.0,-0.0564,2.5625,16,0.2672,0.2688,0,2,2,1,1,AVL-BHA,HUL-LEE,pass,,CAUTION
gw4_19_final20,12,30,AVL-BHA-CRY-LIV-NEW,1+1+1+1+1,4,25.0,-0.055,2.5208,16,0.2773,0.2674,0,3,3,0,2,AVL-BHA-LIV,CRY-NEW,pass,,PICK
gw4_19_final20,13,32,AVL-CHE-LIV-MCI-NFO,1+1+1+1+1,4,25.0,-0.0529,2.4375,16,0.3044,0.3023,1,2,3,0,1,AVL-LIV-MCI,CHE,pass,,PICK
gw4_19_final20,14,37,AVL-BHA-COV-CRY-FUL,1+1+1+1+1,4,25.0,-0.0473,2.5208,16,0.2708,0.2827,0,2,2,1,1,AVL-BHA,COV-CRY,pass,,CAUTION
gw4_19_final20,15,49,AVL-BHA-CHE-HUL-LEE,1+1+1+1+1,4,25.0,-0.0224,2.5625,16,0.2609,0.2681,0,2,2,1,2,AVL-BHA,CHE-HUL-LEE,pass,,CAUTION
gw4_19_final20,16,50,BHA-CRY-LEE-MUN-TOT,1+1+1+1+1,4,25.0,-0.0058,2.5833,16,0.2885,0.2716,0,2,2,0,2,BHA-MUN,CRY-LEE,pass,,SOLID
gw4_19_final20,17,52,AVL-BRE-CHE-HUL-MCI,1+1+1+1+1,4,25.0,-0.0035,2.5417,16,0.2939,0.2962,1,1,2,1,1,AVL-MCI,CHE-HUL,pass,,CAUTION
gw4_19_final20,18,57,ARS-IPS-LIV-NEW-NFO,1+1+1+1+1,4,25.0,0.0121,2.5417,16,0.3125,0.3009,1,1,2,1,1,ARS-LIV,IPS-NEW,pass,,CAUTION
gw4_19_final20,19,59,AVL-IPS-MCI-NEW-NFO,1+1+1+1+1,4,25.0,0.0182,2.5,16,0.296,0.2981,1,1,2,1,1,AVL-MCI,IPS-NEW,pass,,CAUTION
gw4_19_final20,20,61,ARS-COV-LIV-NFO-SUN,1+1+1+1+1,4,25.0,0.0236,2.5625,16,0.3177,0.3118,1,1,2,1,0,ARS-LIV,COV,pass,,CAUTION
