tier,tier_id,lineup_summary,clubs,total_price,bb_rqi,tot_effective_xp,gw1_xp_5def,gw2_3_xp_6def,gw1_avg_fdr,gw2_3_rot_fdr,effective_avg_fdr,avg_fdr_corr
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Maatsen (AVL £4.5m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m) + Ballard (SUN £5.0m) + Robertson (TOT £4.5m),AVL-MCI-MUN-SUN-TOT,25.5,68.83999633789062,62.08,26.83,35.26,2.6,2.17,2.3636,-0.2232
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Maatsen (AVL £4.5m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m) + Pedro Porro (TOT £5.5m),AVL-MCI-MUN-SUN-TOT,25.5,68.19000244140625,59.65,25.66,33.98,2.6,2.17,2.3636,-0.2232
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Maatsen (AVL £4.5m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m) + Ballard (SUN £5.0m) + Van Hecke (TOT £5.0m),AVL-MCI-MUN-SUN-TOT,26.0,67.9000015258789,62.12,26.91,35.21,2.6,2.17,2.3636,-0.2232
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + O'Reilly (MCI £6.5m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),AVL-MCI-NFO-SUN-TOT,24.0,69.58999633789062,59.53,25.31,34.23,2.6,2.33,2.4545,-0.2232
Band 3: Single Anchor (£24.5m-£25.0m),3,Maatsen (AVL £4.5m) + O'Reilly (MCI £6.5m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m) + Van Hecke (TOT £5.0m),AVL-MCI-NFO-SUN-TOT,24.5,68.72000122070312,59.57,25.39,34.18,2.6,2.33,2.4545,-0.2232
Band 3: Single Anchor (£24.5m-£25.0m),3,Calafiori (ARS £5.5m) + Muñoz (CRY £5.5m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m),ARS-CRY-LIV-MUN-SUN,25.0,70.55999755859375,60.08,27.74,32.34,2.4,2.5,2.4545,-0.05
Band 3: Single Anchor (£24.5m-£25.0m),3,Maatsen (AVL £4.5m) + O'Reilly (MCI £6.5m) + Jair Cunha (NFO £4.5m) + Hume (SUN £4.5m) + Robertson (TOT £4.5m),AVL-MCI-NFO-SUN-TOT,24.5,69.0199966430664,59.73,25.41,34.33,2.6,2.33,2.4545,-0.2232
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Maatsen (AVL £4.5m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m) + Mukiele (SUN £5.5m) + Robertson (TOT £4.5m),AVL-MCI-MUN-SUN-TOT,26.0,67.9000015258789,61.22,26.44,34.78,2.6,2.17,2.3636,-0.2232
Band 1: Budget (£20.5m-£22.5m),1,Hato (CHE £4.5m) + Chadi Riad (CRY £4.5m) + Bogle (LEE £4.5m) + Shaw (MUN £4.5m) + O'Nien (SUN £4.0m),CHE-CRY-LEE-MUN-SUN,22.0,46.369998931884766,45.37,19.64,25.72,2.6,2.5,2.5455,0.1134
Band 1: Budget (£20.5m-£22.5m),1,Hato (CHE £4.5m) + Chadi Riad (CRY £4.5m) + Bogle (LEE £4.5m) + Shaw (MUN £4.5m) + Hume (SUN £4.5m),CHE-CRY-LEE-MUN-SUN,22.5,45.70000076293945,45.51,19.74,25.77,2.6,2.5,2.5455,0.1134
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m),BHA-CHE-MUN-NFO-SUN,24.5,72.66000366210938,59.97,26.97,33.0,2.4,2.33,2.3636,0.0348
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Hume (SUN £4.5m),BHA-CHE-MUN-NFO-SUN,25.0,71.77999877929688,60.17,27.07,33.1,2.4,2.33,2.3636,0.0348
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Ballard (SUN £5.0m),BHA-CHE-MUN-NFO-SUN,25.5,70.83999633789062,62.35,28.0,34.35,2.4,2.33,2.3636,0.0348
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Mukiele (SUN £5.5m),BHA-CHE-MUN-NFO-SUN,26.0,69.9000015258789,61.26,27.61,33.65,2.4,2.33,2.3636,0.0348
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Muñoz (CRY £5.5m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Hume (SUN £4.5m),ARS-CRY-LIV-MUN-SUN,25.5,69.62999725341797,60.28,27.84,32.44,2.4,2.5,2.4545,-0.05
Band 1: Budget (£20.5m-£22.5m),1,Hato (CHE £4.5m) + Chadi Riad (CRY £4.5m) + Bogle (LEE £4.5m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m),CHE-CRY-LEE-MUN-SUN,22.5,49.79999923706055,47.77,20.49,27.28,2.6,2.5,2.5455,0.1134
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Muñoz (CRY £5.5m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Ballard (SUN £5.0m),ARS-CRY-LIV-MUN-SUN,26.0,68.69000244140625,62.25,28.77,33.48,2.4,2.5,2.4545,-0.05
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m) + O'Nien (SUN £4.0m),BHA-CHE-MUN-NFO-SUN,25.0,71.62000274658203,59.91,27.01,32.9,2.4,2.33,2.3636,0.0348
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m) + Hume (SUN £4.5m),BHA-CHE-MUN-NFO-SUN,25.5,70.83999633789062,60.11,27.11,33.0,2.4,2.33,2.3636,0.0348
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m) + Ballard (SUN £5.0m),BHA-CHE-MUN-NFO-SUN,26.0,69.9000015258789,62.39,28.04,34.35,2.4,2.33,2.3636,0.0348
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Maguire (MUN £5.0m) + Milenković (NFO £5.5m) + O'Nien (SUN £4.0m),BHA-CHE-MUN-NFO-SUN,25.5,70.83999633789062,60.13,27.08,33.05,2.4,2.33,2.3636,0.0348
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Maguire (MUN £5.0m) + Milenković (NFO £5.5m) + Hume (SUN £4.5m),BHA-CHE-MUN-NFO-SUN,26.0,69.9000015258789,60.33,27.18,33.15,2.4,2.33,2.3636,0.0348
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),BHA-CHE-MUN-SUN-TOT,24.5,68.88999938964844,59.66,26.12,33.54,2.6,2.33,2.4545,0.1066
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,22.0,65.94999694824219,53.7,23.87,29.83,2.4,2.33,2.3636,-0.0964
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m) + Van Hecke (TOT £5.0m),AVL-MUN-NFO-SUN-TOT,22.5,65.20999908447266,53.81,23.95,29.86,2.4,2.33,2.3636,-0.0964
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m) + Hume (SUN £4.5m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,22.5,65.37999725341797,53.9,23.97,29.93,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m) + Ballard (SUN £5.0m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,23.0,68.61000061035156,56.2,24.9,31.3,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m) + Ballard (SUN £5.0m) + Van Hecke (TOT £5.0m),AVL-MUN-NFO-SUN-TOT,23.5,67.73999786376953,56.23,24.98,31.25,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),BHA-CHE-NFO-SUN-TOT,24.0,66.5999984741211,57.89,25.63,32.25,2.6,2.33,2.4545,-0.1207
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Gabriel (ARS £8.0m) + Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m),ARS-AVL-MUN-NFO-SUN,26.0,67.97000122070312,58.5,27.52,30.99,2.2,2.67,2.4545,0.1634
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Shaw (MUN £4.5m) + N.Williams (NFO £5.0m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,22.5,64.91000366210938,53.65,23.91,29.74,2.4,2.33,2.3636,-0.0964
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Jair Cunha (NFO £4.5m) + Ballard (SUN £5.0m) + Robertson (TOT £4.5m),BHA-CHE-NFO-SUN-TOT,25.0,68.55999755859375,60.38,26.66,33.72,2.6,2.33,2.4545,-0.1207
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Shaw (MUN £4.5m) + N.Williams (NFO £5.0m) + Ballard (SUN £5.0m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,23.5,67.56999969482422,56.14,24.94,31.2,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Shaw (MUN £4.5m) + N.Williams (NFO £5.0m) + Ballard (SUN £5.0m) + Van Hecke (TOT £5.0m),AVL-MUN-NFO-SUN-TOT,24.0,66.80999755859375,56.23,25.02,31.22,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Branthwaite (EVE £5.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m),EVE-IPS-LIV-MUN-NFO,24.0,67.36000061035156,57.88,25.54,32.33,2.4,2.67,2.5455,0.0366
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Shaw (MUN £4.5m) + Milenković (NFO £5.5m) + Ballard (SUN £5.0m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,24.0,67.04000091552734,56.36,25.01,31.35,2.4,2.33,2.3636,-0.0964
Band 1: Budget (£20.5m-£22.5m),1,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,22.5,68.73999786376953,55.75,24.71,31.04,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m) + Van Hecke (TOT £5.0m),AVL-MUN-NFO-SUN-TOT,23.0,67.87000274658203,55.79,24.79,31.0,2.4,2.33,2.3636,-0.0964
Band 1: Budget (£20.5m-£22.5m),1,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Greaves (IPS £4.0m) + Bogle (LEE £4.5m) + Shaw (MUN £4.5m),BHA-CRY-IPS-LEE-MUN,22.5,50.779998779296875,49.64,21.98,27.66,2.6,2.83,2.7273,0.05
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Hume (SUN £4.5m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,23.0,68.16999816894531,55.95,24.81,31.14,2.4,2.33,2.3636,-0.0964
Band 1: Budget (£20.5m-£22.5m),1,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Greaves (IPS £4.0m) + Bogle (LEE £4.5m) + Robertson (TOT £4.5m),BHA-CRY-IPS-LEE-TOT,22.5,48.13999938964844,49.95,21.48,28.47,2.8,2.83,2.8182,-0.1
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Hume (SUN £4.5m) + Van Hecke (TOT £5.0m),AVL-MUN-NFO-SUN-TOT,23.5,67.29000091552734,55.99,24.89,31.1,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Ballard (SUN £5.0m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,23.5,71.19999694824219,58.14,25.74,32.39,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Ballard (SUN £5.0m) + Van Hecke (TOT £5.0m),AVL-MUN-NFO-SUN-TOT,24.0,70.31999969482422,58.17,25.82,32.35,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m) + Pedro Porro (TOT £5.5m),AVL-MUN-NFO-SUN-TOT,23.5,66.33999633789062,55.46,24.58,30.88,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Mukiele (SUN £5.5m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,24.0,68.27999877929688,57.05,25.36,31.69,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Greaves (IPS £4.0m) + Muharemović (LEE £5.0m) + Jacquet (LIV £5.0m),BHA-CRY-IPS-LEE-LIV,23.5,64.43000030517578,59.94,25.09,34.85,2.8,2.83,2.8182,0.2232
Band 3: Single Anchor (£24.5m-£25.0m),3,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m) + Ballard (SUN £5.0m) + Pedro Porro (TOT £5.5m),AVL-MUN-NFO-SUN-TOT,24.5,68.79000091552734,57.84,25.61,32.24,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,23.0,67.69999694824219,55.7,24.75,30.94,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m) + O'Nien (SUN £4.0m) + Van Hecke (TOT £5.0m),AVL-MUN-NFO-SUN-TOT,23.5,66.94000244140625,55.79,24.83,30.96,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m) + Hume (SUN £4.5m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,23.5,67.12999725341797,55.9,24.85,31.04,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m) + Hume (SUN £4.5m) + Van Hecke (TOT £5.0m),AVL-MUN-NFO-SUN-TOT,24.0,66.36000061035156,55.99,24.93,31.06,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Gvardiol (MCI £5.5m),BHA-CRY-IPS-LIV-MCI,24.0,64.80000305175781,60.28,24.94,35.34,2.8,2.67,2.7273,0.4098
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m) + Ballard (SUN £5.0m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,24.0,70.33999633789062,58.18,25.78,32.39,2.4,2.33,2.3636,-0.0964
Band 3: Single Anchor (£24.5m-£25.0m),3,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + N.Williams (NFO £5.0m) + Ballard (SUN £5.0m) + Van Hecke (TOT £5.0m),AVL-MUN-NFO-SUN-TOT,24.5,69.45999908447266,58.21,25.86,32.35,2.4,2.33,2.3636,-0.0964
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + O'Reilly (MCI £6.5m),BHA-CRY-IPS-LIV-MCI,25.0,62.93000030517578,63.65,26.04,37.62,2.8,2.67,2.7273,0.4098
Band 2: Mid-Value (£23.0m-£24.0m),2,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m) + Maguire (MUN £5.0m),BHA-CRY-IPS-LIV-MUN,23.5,68.72000122070312,59.87,25.44,34.43,2.6,2.67,2.6364,0.0366
Band 1: Budget (£20.5m-£22.5m),1,Hato (CHE £4.5m) + Chadi Riad (CRY £4.5m) + Muharemović (LEE £5.0m) + Shaw (MUN £4.5m) + O'Nien (SUN £4.0m),CHE-CRY-LEE-MUN-SUN,22.5,52.459999084472656,49.23,22.19,27.04,2.6,2.5,2.5455,0.1134
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Milenković (NFO £5.5m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,23.5,67.16999816894531,55.92,24.83,31.09,2.4,2.33,2.3636,-0.0964
Band 2: Mid-Value (£23.0m-£24.0m),2,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Milenković (NFO £5.5m) + Hume (SUN £4.5m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,24.0,66.58999633789062,56.12,24.93,31.19,2.4,2.33,2.3636,-0.0964
Band 3: Single Anchor (£24.5m-£25.0m),3,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Milenković (NFO £5.5m) + Ballard (SUN £5.0m) + Robertson (TOT £4.5m),AVL-MUN-NFO-SUN-TOT,24.5,69.52999877929688,58.25,25.86,32.39,2.4,2.33,2.3636,-0.0964
Band 3: Single Anchor (£24.5m-£25.0m),3,Maatsen (AVL £4.5m) + Maguire (MUN £5.0m) + Milenković (NFO £5.5m) + Ballard (SUN £5.0m) + Van Hecke (TOT £5.0m),AVL-MUN-NFO-SUN-TOT,25.0,68.6500015258789,58.28,25.93,32.35,2.4,2.33,2.3636,-0.0964
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Calafiori (ARS £5.5m) + Vuskovic (BHA £5.0m) + Canvot (CRY £5.0m) + O'Reilly (MCI £6.5m) + O'Nien (SUN £4.0m),ARS-BHA-CRY-MCI-SUN,26.0,64.2699966430664,64.43,28.97,35.46,2.6,2.67,2.6364,0.0366
Band 1: Budget (£20.5m-£22.5m),1,Hato (CHE £4.5m) + Chadi Riad (CRY £4.5m) + Muharemović (LEE £5.0m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),CHE-CRY-LEE-SUN-TOT,22.5,49.81999969482422,49.55,21.69,27.86,2.8,2.5,2.6364,-0.0055
Band 1: Budget (£20.5m-£22.5m),1,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Greaves (IPS £4.0m) + Shaw (MUN £4.5m) + Jair Cunha (NFO £4.5m),BHA-CRY-IPS-MUN-NFO,22.5,59.40999984741211,53.29,24.38,28.9,2.4,3.0,2.7273,0.2732
Band 1: Budget (£20.5m-£22.5m),1,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Greaves (IPS £4.0m) + Shaw (MUN £4.5m) + Robertson (TOT £4.5m),BHA-CRY-IPS-MUN-TOT,22.5,59.91999816894531,54.0,23.53,30.47,2.6,2.67,2.6364,-0.1366
Band 1: Budget (£20.5m-£22.5m),1,Dunk (BHA £4.5m) + Ajer (BRE £4.5m) + Hato (CHE £4.5m) + Canvot (CRY £5.0m) + O'Nien (SUN £4.0m),BHA-BRE-CHE-CRY-SUN,22.5,45.779998779296875,46.66,20.18,26.48,2.8,2.33,2.5455,-0.1872
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Gvardiol (MCI £5.5m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m),BHA-CHE-MCI-MUN-SUN,25.5,68.83999633789062,61.83,26.96,34.87,2.6,2.17,2.3636,-0.1903
Band 1: Budget (£20.5m-£22.5m),1,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Greaves (IPS £4.0m) + Jair Cunha (NFO £4.5m) + Robertson (TOT £4.5m),BHA-CRY-IPS-NFO-TOT,22.5,56.72999954223633,53.58,23.89,29.69,2.6,3.0,2.8182,0.0366
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Vuskovic (BHA £5.0m) + Lacroix (CHE £6.0m) + Gvardiol (MCI £5.5m) + Maguire (MUN £5.0m) + Hume (SUN £4.5m),BHA-CHE-MCI-MUN-SUN,26.0,67.9000015258789,62.03,27.06,34.97,2.6,2.17,2.3636,-0.1903
Band 2: Mid-Value (£23.0m-£24.0m),2,Vuskovic (BHA £5.0m) + Ajer (BRE £4.5m) + Palestra (CHE £5.5m) + Maguire (MUN £5.0m) + O'Nien (SUN £4.0m),BHA-BRE-CHE-MUN-SUN,24.0,66.44999694824219,57.14,24.76,32.38,2.6,2.17,2.3636,-0.1903
Band 1: Budget (£20.5m-£22.5m),1,Hato (CHE £4.5m) + Chadi Riad (CRY £4.5m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m) + O'Nien (SUN £4.0m),CHE-CRY-LIV-MUN-SUN,22.5,56.369998931884766,50.71,22.26,28.45,2.6,2.33,2.4545,-0.1311
Band 4: Premium / Dual Anchor (£25.5m-£26.0m),4,Branthwaite (EVE £5.5m) + Greaves (IPS £4.0m) + O'Reilly (MCI £6.5m) + Maguire (MUN £5.0m) + Jair Cunha (NFO £4.5m),EVE-IPS-MCI-MUN-NFO,25.5,68.41000366210938,60.24,26.41,33.83,2.4,2.67,2.5455,0.0366
Band 1: Budget (£20.5m-£22.5m),1,Hato (CHE £4.5m) + Chadi Riad (CRY £4.5m) + Jacquet (LIV £5.0m) + Jair Cunha (NFO £4.5m) + O'Nien (SUN £4.0m),CHE-CRY-LIV-NFO-SUN,22.5,57.59000015258789,52.05,22.62,29.44,2.6,2.5,2.5455,-0.1217
Band 1: Budget (£20.5m-£22.5m),1,Hato (CHE £4.5m) + Chadi Riad (CRY £4.5m) + Jacquet (LIV £5.0m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),CHE-CRY-LIV-SUN-TOT,22.5,53.72999954223633,51.03,21.77,29.26,2.8,2.33,2.5455,-0.2
Band 1: Budget (£20.5m-£22.5m),1,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Bogle (LEE £4.5m) + Shaw (MUN £4.5m) + O'Nien (SUN £4.0m),BHA-CRY-LEE-MUN-SUN,22.5,55.060001373291016,50.66,22.69,27.97,2.6,2.5,2.5455,-0.0866
Band 1: Budget (£20.5m-£22.5m),1,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Bogle (LEE £4.5m) + O'Nien (SUN £4.0m) + Robertson (TOT £4.5m),BHA-CRY-LEE-SUN-TOT,22.5,52.43000030517578,50.98,22.2,28.78,2.8,2.5,2.6364,-0.1866
Band 1: Budget (£20.5m-£22.5m),1,Dunk (BHA £4.5m) + Ajer (BRE £4.5m) + Hato (CHE £4.5m) + Greaves (IPS £4.0m) + Muharemović (LEE £5.0m),BHA-BRE-CHE-IPS-LEE,22.5,46.88999938964844,47.93,20.1,27.83,2.8,2.5,2.6364,-0.1372
Band 1: Budget (£20.5m-£22.5m),1,Dunk (BHA £4.5m) + Ajer (BRE £4.5m) + Hato (CHE £4.5m) + Greaves (IPS £4.0m) + Jacquet (LIV £5.0m),BHA-BRE-CHE-IPS-LIV,22.5,50.54999923706055,49.28,20.18,29.1,2.8,2.33,2.5455,-0.0951
Band 3: Single Anchor (£24.5m-£25.0m),3,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Muharemović (LEE £5.0m) + Jacquet (LIV £5.0m) + Gvardiol (MCI £5.5m),BHA-CRY-LEE-LIV-MCI,25.0,60.93000030517578,62.77,26.27,36.5,3.0,2.5,2.7273,0.4598
Band 1: Budget (£20.5m-£22.5m),1,Dunk (BHA £4.5m) + Ajer (BRE £4.5m) + Hato (CHE £4.5m) + Greaves (IPS £4.0m) + Shaw (MUN £4.5m),BHA-BRE-CHE-IPS-MUN,22.0,47.7599983215332,45.47,19.61,25.86,2.6,2.33,2.4545,-0.1793
Band 1: Budget (£20.5m-£22.5m),1,Dunk (BHA £4.5m) + Ajer (BRE £4.5m) + Hato (CHE £4.5m) + Greaves (IPS £4.0m) + Maguire (MUN £5.0m),BHA-BRE-CHE-IPS-MUN,22.5,51.189998626708984,47.86,20.45,27.41,2.6,2.33,2.4545,-0.1793
Band 2: Mid-Value (£23.0m-£24.0m),2,Vuskovic (BHA £5.0m) + Chadi Riad (CRY £4.5m) + Muharemović (LEE £5.0m) + Jacquet (LIV £5.0m) + Shaw (MUN £4.5m),BHA-CRY-LEE-LIV-MUN,24.0,66.0199966430664,61.28,25.92,35.36,2.8,2.5,2.6364,-0.0134
