pre_clubs,pre_unique,pre_pattern,pre_sun,gw13_eff_fdr,gw1_avg_fdr,gw23_rot_fdr,pre_corr,n_swaps,out_clubs,in_clubs,post_clubs,post_unique,post_pattern,post_sun,gw419_rot_fdr,gw419_no_diff_pct,gw419_all_easy_pct,post_corr,path_eff_fdr,scenario_eligible,scenario_rank
BHA-LEE-LEE-LIV-MUN,4,2+1+1+1,0,2.6364,2.8,2.5,-0.1,2,"LEE,MUN","AVL,NFO",AVL-BHA-LEE-LIV-NFO,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1076,2.508508,False,
BHA-LEE-LEE-LIV-SUN,4,2+1+1+1,1,2.6364,2.8,2.5,-0.1,2,"LEE,LEE","COV,MCI",BHA-COV-LIV-MCI-SUN,5,1+1+1+1+1,1,2.4792,100.0,25.0,-0.1292,2.508508,False,
BHA-LEE-LEE-MCI-MUN,4,2+1+1+1,0,2.6364,2.8,2.5,-0.1,2,"LEE,MUN","COV,FUL",BHA-COV-FUL-LEE-MCI,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.149,2.508508,False,
BHA-LEE-LEE-MCI-SUN,4,2+1+1+1,1,2.6364,2.8,2.5,-0.1,2,"LEE,SUN","COV,FUL",BHA-COV-FUL-LEE-MCI,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.149,2.508508,False,
CHE-LEE-LEE-MCI-SUN,4,2+1+1+1,1,2.6364,2.8,2.5,-0.1,2,"LEE,LEE","COV,EVE",CHE-COV-EVE-MCI-SUN,5,1+1+1+1+1,1,2.4792,100.0,12.5,-0.1133,2.508508,False,
CRY-IPS-LIV-MCI-TOT,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.1,2,"CRY,TOT","CHE,NEW",CHE-IPS-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1753,2.508508,False,
CRY-MCI-MCI-NFO-TOT,4,2+1+1+1,0,2.6364,2.8,2.5,-0.1,2,"MCI,MCI","BOU,FUL",BOU-CRY-FUL-NFO-TOT,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.177,2.508508,False,
LEE-LEE-LIV-MCI-SUN,4,2+1+1+1,1,2.6364,2.8,2.5,-0.1,2,"LEE,LEE","BHA,COV",BHA-COV-LIV-MCI-SUN,5,1+1+1+1+1,1,2.4792,100.0,25.0,-0.1292,2.508508,False,
BRE-CHE-CRY-IPS-LIV,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0957,2,"BRE,CRY","BOU,NEW",BOU-CHE-IPS-LIV-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1874,2.508508,False,
BRE-CHE-CRY-IPS-MCI,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0957,2,"BRE,CRY","LIV,NEW",CHE-IPS-LIV-MCI-NEW,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.1753,2.508508,False,
ARS-AVL-BRE-EVE-LIV,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0634,2,"BRE,EVE","BOU,COV",ARS-AVL-BOU-COV-LIV,5,1+1+1+1+1,0,2.4792,100.0,12.5,-0.124,2.508508,False,
ARS-AVL-BRE-EVE-MCI,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0634,2,"ARS,EVE","COV,FUL",AVL-BRE-COV-FUL-MCI,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.1384,2.508508,False,
ARS-BRE-BHA-EVE-LIV,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0634,2,"ARS,BRE","COV,NFO",BHA-COV-EVE-LIV-NFO,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.1308,2.508508,False,
AVL-BRE-BRE-EVE-NFO,4,2+1+1+1,0,2.6364,2.8,2.5,-0.0634,2,"BRE,EVE","BOU,COV",AVL-BOU-BRE-COV-NFO,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.14,2.508508,False,
AVL-BRE-EVE-IPS-MCI,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0634,2,"EVE,IPS","COV,FUL",AVL-BRE-COV-FUL-MCI,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.1384,2.508508,False,
BRE-BRE-BHA-EVE-NFO,4,2+1+1+1,0,2.6364,2.8,2.5,-0.0634,2,"BRE,BRE","COV,LIV",BHA-COV-EVE-LIV-NFO,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.1308,2.508508,False,
BRE-BHA-EVE-IPS-LIV,5,1+1+1+1+1,0,2.6364,2.8,2.5,-0.0634,2,"BRE,IPS","COV,NFO",BHA-COV-EVE-LIV-NFO,5,1+1+1+1+1,0,2.4792,100.0,18.8,-0.1308,2.508508,False,
