set_id,set_label,clubs,archetype,is_distinct_clubs,combined_cost,total_mod_fdr,total_base_fdr,avg_def_mod_fdr,avg_def_base_fdr,player1,player2,player3,player4,player5
23645,Ajer (BRE) + F.Kadıoğlu (BHA) + Robertson (TOT) + Ajayi (HUL) + O'Nien (SUN),BRE-BHA-TOT-HUL-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Ajer (BRE, £4.5m)","F.Kadıoğlu (BHA, £4.5m)","Robertson (TOT, £4.5m)","Ajayi (HUL, £4.0m)","O'Nien (SUN, £4.0m)"
23690,Ajer (BRE) + F.Kadıoğlu (BHA) + Robertson (TOT) + Diop (IPS) + O'Nien (SUN),BRE-BHA-TOT-IPS-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Ajer (BRE, £4.5m)","F.Kadıoğlu (BHA, £4.5m)","Robertson (TOT, £4.5m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
24717,Ajer (BRE) + Mykolenko (EVE) + Robertson (TOT) + Thomas (COV) + Ajayi (HUL),BRE-EVE-TOT-COV-HUL,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Ajer (BRE, £4.5m)","Mykolenko (EVE, £4.5m)","Robertson (TOT, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)"
24880,Ajer (BRE) + Aina (NFO) + Robertson (TOT) + Thomas (COV) + Ajayi (HUL),BRE-NFO-TOT-COV-HUL,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Ajer (BRE, £4.5m)","Aina (NFO, £4.5m)","Robertson (TOT, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)"
25026,Ajer (BRE) + Heaven (MUN) + Aina (NFO) + Thomas (COV) + O'Nien (SUN),BRE-MUN-NFO-COV-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Ajer (BRE, £4.5m)","Heaven (MUN, £4.5m)","Aina (NFO, £4.5m)","Thomas (COV, £4.0m)","O'Nien (SUN, £4.0m)"
25700,Ajer (BRE) + Mykolenko (EVE) + Robertson (TOT) + Ajayi (HUL) + O'Nien (SUN),BRE-EVE-TOT-HUL-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"Ajer (BRE, £4.5m)","Mykolenko (EVE, £4.5m)","Robertson (TOT, £4.5m)","Ajayi (HUL, £4.0m)","O'Nien (SUN, £4.0m)"
27198,F.Kadıoğlu (BHA) + Boscagli (BHA) + Aina (NFO) + Thomas (COV) + O'Nien (SUN),BHA-BHA-NFO-COV-SUN,Pure Budget,False,21.5,142.75,146.0,2.504,2.561,"F.Kadıoğlu (BHA, £4.5m)","Boscagli (BHA, £4.5m)","Aina (NFO, £4.5m)","Thomas (COV, £4.0m)","O'Nien (SUN, £4.0m)"
27201,F.Kadıoğlu (BHA) + Boscagli (BHA) + Hume (SUN) + Thomas (COV) + O'Nien (SUN),BHA-BHA-SUN-COV-SUN,Pure Budget,False,21.5,142.75,146.0,2.504,2.561,"F.Kadıoğlu (BHA, £4.5m)","Boscagli (BHA, £4.5m)","Hume (SUN, £4.5m)","Thomas (COV, £4.0m)","O'Nien (SUN, £4.0m)"
28631,F.Kadıoğlu (BHA) + Robinson (FUL) + Rodon (LEE) + Thomas (COV) + Diop (IPS),BHA-FUL-LEE-COV-IPS,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"F.Kadıoğlu (BHA, £4.5m)","Robinson (FUL, £4.5m)","Rodon (LEE, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)"
28810,F.Kadıoğlu (BHA) + Rodon (LEE) + Hume (SUN) + Thomas (COV) + O'Nien (SUN),BHA-LEE-SUN-COV-SUN,Pure Budget,False,21.5,142.75,146.0,2.504,2.561,"F.Kadıoğlu (BHA, £4.5m)","Rodon (LEE, £4.5m)","Hume (SUN, £4.5m)","Thomas (COV, £4.0m)","O'Nien (SUN, £4.0m)"
29545,F.Kadıoğlu (BHA) + Mykolenko (EVE) + Robertson (TOT) + Ajayi (HUL) + O'Nien (SUN),BHA-EVE-TOT-HUL-SUN,Pure Budget,True,21.5,142.75,146.0,2.504,2.561,"F.Kadıoğlu (BHA, £4.5m)","Mykolenko (EVE, £4.5m)","Robertson (TOT, £4.5m)","Ajayi (HUL, £4.0m)","O'Nien (SUN, £4.0m)"
30378,F.Kadıoğlu (BHA) + Robertson (TOT) + Hume (SUN) + Diop (IPS) + O'Nien (SUN),BHA-TOT-SUN-IPS-SUN,Pure Budget,False,21.5,142.75,146.0,2.504,2.561,"F.Kadıoğlu (BHA, £4.5m)","Robertson (TOT, £4.5m)","Hume (SUN, £4.5m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
31594,Colwill (CHE) + Mykolenko (EVE) + Thomas (COV) + Ajayi (HUL) + O'Nien (SUN),CHE-EVE-COV-HUL-SUN,Other,True,21.5,142.75,146.0,2.504,2.561,"Colwill (CHE, £5.0m)","Mykolenko (EVE, £4.5m)","Thomas (COV, £4.0m)","Ajayi (HUL, £4.0m)","O'Nien (SUN, £4.0m)"
31669,Colwill (CHE) + Robinson (FUL) + Thomas (COV) + Diop (IPS) + O'Nien (SUN),CHE-FUL-COV-IPS-SUN,Other,True,21.5,142.75,146.0,2.504,2.561,"Colwill (CHE, £5.0m)","Robinson (FUL, £4.5m)","Thomas (COV, £4.0m)","Diop (IPS, £4.0m)","O'Nien (SUN, £4.0m)"
