wc,fh,tc,phase,player_id,web_name,club_short,position,cost,expected_role
4,12,17,pre-WC,504,Vuskovic,BHA,DEF,5.0,Nailed Starter
4,12,17,pre-WC,557,Tzolis,ARS,MID,6.5,Regular Starter
4,12,17,pre-WC,8,Calafiori,ARS,DEF,5.5,Regular Starter
4,12,17,pre-WC,379,Isak,LIV,FWD,9.0,Nailed Starter
4,12,17,pre-WC,130,Wieffer,BHA,DEF,5.0,Nailed Starter
4,12,17,pre-WC,388,Guéhi,MCI,DEF,6.0,Nailed Starter
4,12,17,pre-WC,68,Tavernier,BOU,MID,6.0,Nailed Starter
4,12,17,pre-WC,94,Schade,BRE,MID,6.0,Nailed Starter
4,12,17,pre-WC,384,Donnarumma,MCI,GKP,5.5,Nailed Starter
4,12,17,pre-WC,69,Scott,BOU,MID,6.0,Nailed Starter
